stream_index	reference	continuity_audit_source	recovery_profile	recovery_source	following_continuity_sequence
96	3:6	person_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
97	3:6	person_change	stabilized	same_majority	"[""same"", ""same"", ""shift""]"
102	3:9	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
103	3:9	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
104	3:10	person_and_number_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
105	3:10	person_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
122	3:16	person_and_number_change	stabilized	same_majority	"[""same"", ""shift"", ""same""]"
124	3:16	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
128	3:17	person_and_number_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
129	3:18	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
143	4:3	person_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
147	4:4	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
148	4:5	person_and_number_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
149	4:5	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
153	4:6	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
154	4:6	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
155	4:6	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
156	4:6	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
157	4:7	person_and_number_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
158	4:7	person_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
166	4:8	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
168	4:9	person_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
169	4:9	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
181	4:15	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
182	4:15	person_and_number_change	continued_instability	shift_majority	"[""same"", ""shift"", ""shift""]"
184	4:16	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
185	4:17	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
186	4:17	person_change	continued_instability	shift_majority	"[""same"", ""shift"", ""shift""]"
188	4:17	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
189	4:18	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
190	4:19	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
191	4:19	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
192	4:19	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
193	4:21	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
194	4:21	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
195	5:1	person_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
196	5:2	person_and_number_change	continued_instability	shift_majority	"[""same"", ""shift"", ""shift""]"
198	5:2	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
199	5:3	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
200	5:5	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
201	5:6	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
202	5:6	person_and_number_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
203	5:7	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""shift""]"
206	5:7	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
207	5:8	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
209	5:10	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
210	5:11	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
211	5:11	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
212	5:12	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
213	5:13	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
214	5:13	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
215	6:1	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
216	6:2	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
217	6:2	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
219	6:2	person_and_number_change	continued_instability	shift_majority	"[""same"", ""shift"", ""shift""]"
221	6:3	person_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
222	6:4	person_change	continued_instability	shift_majority	"[""same"", ""shift"", ""shift""]"
224	6:5	person_and_number_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
225	6:5	person_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
229	6:7	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
235	6:9	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
236	6:9	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
237	6:10	person_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
238	6:11	person_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
242	6:12	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""shift""]"
245	6:12	person_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
246	6:13	person_change	stabilized	same_majority	"[""same"", ""same"", ""shift""]"
249	6:15	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
250	6:15	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
251	6:15	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
252	6:15	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
253	6:16	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
254	6:16	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
258	6:18	person_and_number_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
259	6:18	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""shift""]"
262	6:19	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
263	6:19	person_and_number_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
264	6:19	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
269	7:2	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
274	7:5	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""shift""]"
277	7:5	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
278	7:6	person_change	continued_instability	shift_majority	"[""same"", ""shift"", ""shift""]"
280	7:7	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
281	7:8	person_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
282	7:8	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""shift""]"
286	7:10	person_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
287	7:11	person_change	stabilized	same_majority	"[""same"", ""same"", ""shift""]"
290	7:12	person_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
291	7:12	person_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
305	7:16	person_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
309	7:17	person_change	stabilized	same_majority	"[""same"", ""same"", ""shift""]"
312	7:17	person_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
313	7:18	person_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
321	7:21	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
322	7:21	person_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
323	7:21	person_change	stabilized	same_majority	"[""same"", ""shift"", ""same""]"
325	7:22	person_change	stabilized	same_majority	"[""same"", ""shift"", ""same""]"
327	7:23	person_and_number_change	stabilized	same_majority	"[""same"", ""shift"", ""same""]"
329	7:24	person_and_number_change	stabilized	same_majority	"[""same"", ""shift"", ""same""]"
331	7:25	person_change	stabilized	same_majority	"[""same"", ""same"", ""shift""]"
334	7:27	person_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
340	7:28	person_change	continued_instability	shift_majority	"[""same"", ""shift"", ""shift""]"
343	7:28	person_and_number_change	continued_instability	shift_majority	"[""same"", ""shift"", ""shift""]"
345	7:29	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
348	7:32	person_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
349	7:32	person_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
358	7:35	person_change	stabilized	same_majority	"[""same"", ""shift"", ""same""]"
360	7:36	person_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
380	7:40	person_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
383	8:1	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
390	8:4	person_and_number_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
391	8:5	person_change	stabilized	same_majority	"[""same"", ""same"", ""shift""]"
396	8:8	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
400	8:9	person_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
401	8:9	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
406	8:12	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
407	8:13	person_and_number_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
408	8:13	person_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
413	9:1	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
414	9:2	person_and_number_change	continued_instability	shift_majority	"[""same"", ""shift"", ""shift""]"
416	9:2	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
417	9:3	person_and_number_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
418	9:4	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""shift""]"
421	9:7	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
426	9:8	person_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
427	9:8	person_change	continued_instability	shift_majority	"[""same"", ""shift"", ""shift""]"
429	9:9	person_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
430	9:9	person_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
434	9:11	person_and_number_change	continued_instability	shift_majority	"[""same"", ""shift"", ""shift""]"
436	9:12	person_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
437	9:12	person_change	stabilized	same_majority	"[""same"", ""same"", ""shift""]"
440	9:13	person_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
441	9:13	person_change	continued_instability	shift_majority	"[""same"", ""shift"", ""shift""]"
444	9:15	person_change	stabilized	same_majority	"[""same"", ""shift"", ""same""]"
446	9:15	person_change	continued_instability	shift_majority	"[""same"", ""shift"", ""shift""]"
448	9:16	person_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
449	9:16	person_change	stabilized	same_majority	"[""same"", ""same"", ""shift""]"
452	9:16	person_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
456	9:18	person_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
457	9:18	person_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
470	9:24	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
471	9:24	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
473	9:24	person_and_number_change	continued_instability	shift_majority	"[""same"", ""shift"", ""shift""]"
475	9:25	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
477	9:26	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
483	10:1	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
494	10:7	person_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
495	10:7	person_and_number_change	continued_instability	shift_majority	"[""same"", ""shift"", ""shift""]"
498	10:8	person_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
499	10:8	person_change	continued_instability	shift_majority	"[""same"", ""shift"", ""shift""]"
501	10:9	person_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
502	10:9	person_change	continued_instability	shift_majority	"[""same"", ""shift"", ""shift""]"
504	10:10	person_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
505	10:10	person_change	stabilized	same_majority	"[""same"", ""shift"", ""same""]"
514	10:13	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
515	10:13	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
516	10:14	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
517	10:15	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
518	10:15	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
519	10:15	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
521	10:16	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
522	10:16	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
523	10:16	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
524	10:17	person_and_number_change	continued_instability	shift_majority	"[""same"", ""shift"", ""shift""]"
526	10:18	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
527	10:18	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
528	10:19	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
529	10:19	person_change	stabilized	same_majority	"[""same"", ""shift"", ""same""]"
533	10:20	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
534	10:21	person_and_number_change	stabilized	same_majority	"[""same"", ""shift"", ""same""]"
536	10:22	person_change	stabilized	same_majority	"[""same"", ""shift"", ""same""]"
538	10:23	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
543	10:25	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
544	10:27	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
545	10:27	person_and_number_change	stabilized	same_majority	"[""same"", ""shift"", ""same""]"
547	10:28	person_and_number_change	continued_instability	shift_majority	"[""same"", ""shift"", ""shift""]"
549	10:28	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
550	10:29	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
551	10:29	person_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
552	10:30	person_change	stabilized	same_majority	"[""same"", ""same"", ""shift""]"
555	10:31	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
560	10:33	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
561	10:33	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
562	11:1	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
563	11:2	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
564	11:2	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
565	11:2	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
566	11:2	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
567	11:3	person_and_number_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
568	11:3	person_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
580	11:13	person_and_number_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
581	11:13	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
589	11:16	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
591	11:17	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
592	11:18	person_and_number_change	continued_instability	shift_majority	"[""same"", ""shift"", ""shift""]"
594	11:19	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
600	11:22	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""shift""]"
603	11:22	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
608	11:23	person_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
613	11:24	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
614	11:25	person_and_number_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
615	11:25	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
620	11:26	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
630	11:31	person_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
634	11:33	person_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
635	11:34	person_and_number_change	continued_instability	shift_majority	"[""same"", ""shift"", ""shift""]"
637	11:34	person_and_number_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
638	11:34	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""shift""]"
641	12:2	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""shift""]"
644	12:3	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
645	12:3	person_change	stabilized	same_majority	"[""same"", ""shift"", ""same""]"
657	12:13	person_and_number_change	stabilized	same_majority	"[""same"", ""shift"", ""same""]"
659	12:14	person_and_number_change	stabilized	same_majority	"[""same"", ""shift"", ""same""]"
661	12:15	person_change	stabilized	same_majority	"[""same"", ""shift"", ""same""]"
663	12:15	person_change	stabilized	same_majority	"[""same"", ""shift"", ""same""]"
665	12:16	person_change	stabilized	same_majority	"[""same"", ""shift"", ""same""]"
667	12:16	person_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
672	12:21	person_change	continued_instability	shift_majority	"[""same"", ""shift"", ""shift""]"
674	12:22	person_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
675	12:23	person_and_number_change	stabilized	same_majority	"[""same"", ""shift"", ""same""]"
677	12:23	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
686	12:27	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
687	12:28	person_and_number_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
691	12:31	person_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
692	12:31	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
701	13:4	person_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
720	13:9	person_and_number_change	stabilized	same_majority	"[""same"", ""shift"", ""same""]"
722	13:10	person_and_number_change	stabilized	same_majority	"[""same"", ""shift"", ""same""]"
724	13:11	person_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
734	13:13	person_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
735	14:1	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""shift""]"
738	14:2	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
744	14:5	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
745	14:5	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
746	14:5	person_and_number_change	stabilized	same_majority	"[""same"", ""shift"", ""same""]"
748	14:6	person_change	stabilized	same_majority	"[""same"", ""same"", ""shift""]"
751	14:7	person_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
755	14:9	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
756	14:9	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
757	14:9	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
758	14:10	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
760	14:11	person_and_number_change	stabilized	same_majority	"[""same"", ""shift"", ""same""]"
762	14:12	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""shift""]"
765	14:13	person_and_number_change	continued_instability	shift_majority	"[""same"", ""shift"", ""shift""]"
767	14:14	person_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
768	14:14	person_change	stabilized	same_majority	"[""same"", ""same"", ""shift""]"
771	14:15	person_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
775	14:16	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
776	14:16	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
777	14:16	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
778	14:16	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
779	14:17	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
780	14:17	person_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
781	14:18	person_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
785	14:20	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""shift""]"
788	14:21	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
789	14:21	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
790	14:21	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
797	14:23	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
798	14:24	person_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
806	14:26	person_and_number_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
807	14:26	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
822	14:31	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
823	14:31	person_change	stabilized	same_majority	"[""same"", ""shift"", ""same""]"
838	14:37	person_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
839	14:37	person_change	stabilized	same_majority	"[""same"", ""same"", ""shift""]"
842	14:39	person_and_number_change	continued_instability	shift_majority	"[""same"", ""shift"", ""shift""]"
844	14:40	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
845	15:1	person_change	stabilized	same_majority	"[""same"", ""shift"", ""same""]"
847	15:1	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""shift""]"
850	15:2	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
851	15:2	person_and_number_change	stabilized	same_majority	"[""same"", ""shift"", ""same""]"
853	15:3	person_and_number_change	stabilized	same_majority	"[""same"", ""shift"", ""same""]"
855	15:3	person_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
864	15:9	person_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
869	15:10	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
870	15:10	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
872	15:11	person_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
873	15:12	person_and_number_change	continued_instability	shift_majority	"[""same"", ""shift"", ""shift""]"
880	15:15	person_and_number_change	stabilized	same_majority	"[""same"", ""shift"", ""same""]"
882	15:15	person_and_number_change	stabilized	same_majority	"[""same"", ""shift"", ""same""]"
888	15:17	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
889	15:18	person_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
890	15:19	person_change	continued_instability	shift_majority	"[""same"", ""shift"", ""shift""]"
