
BOOK: romanos
FAIL romanos-12-7
PASS romanos-12-8
FAIL romanos-12-9
FAIL romanos-13-1
FAIL romanos-13-10
FAIL romanos-13-11
FAIL romanos-13-12
FAIL romanos-13-13
FAIL romanos-13-14
FAIL romanos-13-2
FAIL romanos-13-3
FAIL romanos-13-4
FAIL romanos-13-5
PASS romanos-13-6
PASS romanos-13-7
FAIL romanos-13-8
PASS romanos-13-9
FAIL romanos-14-1
FAIL romanos-14-10
FAIL romanos-14-11
FAIL romanos-14-12
FAIL romanos-14-13
FAIL romanos-14-14
FAIL romanos-14-15
FAIL romanos-14-16
FAIL romanos-14-17
FAIL romanos-14-18
PASS romanos-14-19
FAIL romanos-14-2
FAIL romanos-14-20
PASS romanos-14-21
FAIL romanos-14-22
FAIL romanos-14-23
FAIL romanos-14-3
FAIL romanos-14-4
FAIL romanos-14-5
FAIL romanos-14-6
FAIL romanos-14-7
PASS romanos-14-8
PASS romanos-14-9
FAIL romanos-15-1
PASS romanos-15-10
PASS romanos-15-11
FAIL romanos-15-12
FAIL romanos-15-13
FAIL romanos-15-14
FAIL romanos-15-15
FAIL romanos-15-16
FAIL romanos-15-17
FAIL romanos-15-18
FAIL romanos-15-19
FAIL romanos-15-2
FAIL romanos-15-20
FAIL romanos-15-21
FAIL romanos-15-22
FAIL romanos-15-23
FAIL romanos-15-24
FAIL romanos-15-25
FAIL romanos-15-26
FAIL romanos-15-27
FAIL romanos-15-28
FAIL romanos-15-29
FAIL romanos-15-3
PASS romanos-15-30
PASS romanos-15-31
FAIL romanos-15-32
PASS romanos-15-33
FAIL romanos-15-4
FAIL romanos-15-5
PASS romanos-15-6
FAIL romanos-15-7
FAIL romanos-15-8
FAIL romanos-15-9
FAIL romanos-16-1
FAIL romanos-16-10
PASS romanos-16-11
PASS romanos-16-12
PASS romanos-16-13
FAIL romanos-16-14
FAIL romanos-16-15
FAIL romanos-16-16
PASS romanos-16-17
FAIL romanos-16-18
FAIL romanos-16-19
FAIL romanos-16-2
PASS romanos-16-20
FAIL romanos-16-21
FAIL romanos-16-22
FAIL romanos-16-23
PASS romanos-16-24
PASS romanos-16-3
PASS romanos-16-4
FAIL romanos-16-5
FAIL romanos-16-6
PASS romanos-16-7
PASS romanos-16-8
PASS romanos-16-9
FAIL romanos-2-1
PASS romanos-2-10
FAIL romanos-2-11
FAIL romanos-2-12
FAIL romanos-2-13
FAIL romanos-2-14
PASS romanos-2-15
FAIL romanos-2-16
FAIL romanos-2-17
FAIL romanos-2-18
FAIL romanos-2-19
FAIL romanos-2-2
FAIL romanos-2-20
FAIL romanos-2-21
FAIL romanos-2-22
PASS romanos-2-23
FAIL romanos-2-24
FAIL romanos-2-25
FAIL romanos-2-26
FAIL romanos-2-27
FAIL romanos-2-28
FAIL romanos-2-29
FAIL romanos-2-3
FAIL romanos-2-4
FAIL romanos-2-5
FAIL romanos-2-6
FAIL romanos-2-7
FAIL romanos-2-8
PASS romanos-2-9
FAIL romanos-3-1
FAIL romanos-3-10
PASS romanos-3-11
FAIL romanos-3-12
FAIL romanos-3-13
PASS romanos-3-14
FAIL romanos-3-15
PASS romanos-3-16
FAIL romanos-3-17
PASS romanos-3-18
FAIL romanos-3-19
FAIL romanos-3-2
FAIL romanos-3-20
FAIL romanos-3-21
FAIL romanos-3-22
FAIL romanos-3-23
PASS romanos-3-24
FAIL romanos-3-25
FAIL romanos-3-26
FAIL romanos-3-27
FAIL romanos-3-28
FAIL romanos-3-29
FAIL romanos-3-3
FAIL romanos-3-30
FAIL romanos-3-31
PASS romanos-3-4
FAIL romanos-3-5
FAIL romanos-3-6
FAIL romanos-3-7
FAIL romanos-3-8
FAIL romanos-3-9
FAIL romanos-4-1
PASS romanos-4-10
FAIL romanos-4-11
FAIL romanos-4-12
FAIL romanos-4-13
FAIL romanos-4-14
FAIL romanos-4-15
FAIL romanos-4-16
FAIL romanos-4-17
FAIL romanos-4-18
FAIL romanos-4-19
FAIL romanos-4-2
FAIL romanos-4-20
FAIL romanos-4-21
FAIL romanos-4-22
FAIL romanos-4-23
FAIL romanos-4-24
FAIL romanos-4-25
FAIL romanos-4-3
FAIL romanos-4-4
PASS romanos-4-5
FAIL romanos-4-6
FAIL romanos-4-7
FAIL romanos-4-8
PASS romanos-4-9
FAIL romanos-5-1
FAIL romanos-5-10
FAIL romanos-5-11
PASS romanos-5-12
FAIL romanos-5-13
FAIL romanos-5-14
FAIL romanos-5-15
FAIL romanos-5-16
FAIL romanos-5-17
FAIL romanos-5-18
PASS romanos-5-19
FAIL romanos-5-2
FAIL romanos-5-20
FAIL romanos-5-21
FAIL romanos-5-3
FAIL romanos-5-4
FAIL romanos-5-5
PASS romanos-5-6
FAIL romanos-5-7
PASS romanos-5-8
FAIL romanos-5-9
PASS romanos-6-1
FAIL romanos-6-10
PASS romanos-6-11
FAIL romanos-6-12
FAIL romanos-6-13
FAIL romanos-6-14
FAIL romanos-6-15
FAIL romanos-6-16
FAIL romanos-6-17
FAIL romanos-6-18
FAIL romanos-6-19
PASS romanos-6-2
FAIL romanos-6-20
FAIL romanos-6-21
FAIL romanos-6-22
PASS romanos-6-23
FAIL romanos-6-3
FAIL romanos-6-4
FAIL romanos-6-5
FAIL romanos-6-6
FAIL romanos-6-7
PASS romanos-6-8
FAIL romanos-6-9
FAIL romanos-7-1
PASS romanos-7-10
PASS romanos-7-11
PASS romanos-7-12
FAIL romanos-7-13
FAIL romanos-7-14
FAIL romanos-7-15
FAIL romanos-7-16
FAIL romanos-7-17
FAIL romanos-7-18
FAIL romanos-7-19
FAIL romanos-7-2
FAIL romanos-7-20
FAIL romanos-7-21
FAIL romanos-7-22
FAIL romanos-7-23
FAIL romanos-7-24
FAIL romanos-7-25
FAIL romanos-7-3
FAIL romanos-7-4
FAIL romanos-7-5
FAIL romanos-7-6
FAIL romanos-7-7
PASS romanos-7-8
FAIL romanos-7-9
FAIL romanos-8-1
FAIL romanos-8-10
FAIL romanos-8-11
FAIL romanos-8-12
FAIL romanos-8-13
FAIL romanos-8-14
FAIL romanos-8-15
FAIL romanos-8-16
FAIL romanos-8-17
FAIL romanos-8-18
FAIL romanos-8-19
FAIL romanos-8-2
FAIL romanos-8-20
FAIL romanos-8-21
FAIL romanos-8-22
FAIL romanos-8-23
FAIL romanos-8-24
FAIL romanos-8-25
FAIL romanos-8-26
FAIL romanos-8-27
FAIL romanos-8-28
FAIL romanos-8-29
FAIL romanos-8-3
PASS romanos-8-30
FAIL romanos-8-31
FAIL romanos-8-32
FAIL romanos-8-33
FAIL romanos-8-34
FAIL romanos-8-35
FAIL romanos-8-36
FAIL romanos-8-37
FAIL romanos-8-38
FAIL romanos-8-39
PASS romanos-8-4
FAIL romanos-8-5
FAIL romanos-8-6
FAIL romanos-8-7
FAIL romanos-8-8
FAIL romanos-8-9
PASS romanos-9-1
FAIL romanos-9-10
FAIL romanos-9-11
PASS romanos-9-12
FAIL romanos-9-13
FAIL romanos-9-14
FAIL romanos-9-15
FAIL romanos-9-16
PASS romanos-9-17
FAIL romanos-9-18
FAIL romanos-9-19
FAIL romanos-9-2
FAIL romanos-9-20
FAIL romanos-9-21
FAIL romanos-9-22
FAIL romanos-9-23
FAIL romanos-9-24
FAIL romanos-9-25
FAIL romanos-9-26
FAIL romanos-9-27
PASS romanos-9-28
FAIL romanos-9-29
PASS romanos-9-3
FAIL romanos-9-30
FAIL romanos-9-31
FAIL romanos-9-32
FAIL romanos-9-33
FAIL romanos-9-4
FAIL romanos-9-5
FAIL romanos-9-6
FAIL romanos-9-7
FAIL romanos-9-8
PASS romanos-9-9

SUMMARY: FAIL

--- romanos/romanos-1-1 ---
FAIL

- NBLA token 12 unused: el
- NBLA token 13 unused: evangelio
- NBLA token 14 unused: de
- NBLA token 15 unused: Dios,

--- romanos/romanos-1-11 ---
FAIL

- NBLA token 05 unused: impartirles
- NBLA token 06 unused: algún
- NBLA token 07 unused: don
- NBLA token 08 unused: espiritual,

--- romanos/romanos-1-12 ---
FAIL

- NBLA token 22 unused: ustedes
- NBLA token 23 unused: como
- NBLA token 24 unused: la
- NBLA token 25 unused: mía.

--- romanos/romanos-1-13 ---
FAIL

- NBLA token 01 unused: Y
- NBLA token 14 unused: ir
- NBLA token 21 unused: he
- NBLA token 22 unused: visto
- NBLA token 23 unused: impedido,
- NBLA token 24 unused: a
- NBLA token 25 unused: fin

--- romanos/romanos-1-14 ---
FAIL

- NBLA token 13 unused: para
- NBLA token 14 unused: con
- NBLA token 15 unused: los
- NBLA token 16 unused: sabios
- NBLA token 17 unused: como
- NBLA token 18 unused: para
- NBLA token 19 unused: con
- NBLA token 20 unused: los
- NBLA token 21 unused: ignorantes.

--- romanos/romanos-1-15 ---
FAIL

- NBLA token 02 unused: que,
- NBLA token 03 unused: por
- NBLA token 04 unused: mi
- NBLA token 05 unused: parte,
- NBLA token 06 unused: ansioso
- NBLA token 07 unused: estoy
- NBLA token 08 unused: de
- NBLA token 09 unused: anunciar

--- romanos/romanos-1-16 ---
FAIL

- NBLA token 04 unused: avergüenzo
- NBLA token 05 unused: del
- NBLA token 06 unused: evangelio,
- NBLA token 07 unused: pues
- NBLA token 08 unused: es
- NBLA token 27 unused: griego.

--- romanos/romanos-1-17 ---
FAIL

- NBLA token 23 unused: LA
- NBLA token 24 unused: FE
- NBLA token 25 unused: VIVIRÁ.

--- romanos/romanos-1-18 ---
FAIL

- NBLA token 19 unused: que
- NBLA token 20 unused: con
- NBLA token 21 unused: injusticia
- NBLA token 22 unused: restringen

--- romanos/romanos-1-19 ---
FAIL

- NBLA token 04 unused: se
- NBLA token 05 unused: conoce
- NBLA token 06 unused: acerca

--- romanos/romanos-1-20 ---
FAIL

- NBLA token 26 unused: lo
- NBLA token 27 unused: creado,
- NBLA token 28 unused: de
- NBLA token 29 unused: manera
- NBLA token 30 unused: que
- NBLA token 31 unused: ellos
- NBLA token 32 unused: no
- NBLA token 33 unused: tienen
- NBLA token 34 unused: excusa.

--- romanos/romanos-1-21 ---
FAIL

- NBLA token 06 unused: no
- NBLA token 07 unused: lo
- NBLA token 08 unused: honraron
- NBLA token 14 unused: dieron
- NBLA token 15 unused: gracias,

--- romanos/romanos-1-22 ---
FAIL

- NBLA token 06 unused: necios,

--- romanos/romanos-1-23 ---
FAIL

- NBLA token 06 unused: Dios
- NBLA token 07 unused: incorruptible
- NBLA token 08 unused: por
- NBLA token 09 unused: una
- NBLA token 10 unused: imagen
- NBLA token 11 unused: en
- NBLA token 12 unused: forma

--- romanos/romanos-1-25 ---
FAIL

- NBLA token 03 unused: cambiaron

--- romanos/romanos-1-26 ---
FAIL

- NBLA token 16 unused: natural
- NBLA token 17 unused: por

--- romanos/romanos-1-27 ---
FAIL

- NBLA token 11 unused: natural
- NBLA token 12 unused: de

--- romanos/romanos-1-28 ---
FAIL

- NBLA token 03 unused: como
- NBLA token 04 unused: ellos
- NBLA token 23 unused: cosas
- NBLA token 24 unused: que

--- romanos/romanos-1-29 ---
FAIL

- NBLA token 14 unused: pleitos,
- NBLA token 15 unused: engaños,
- NBLA token 16 unused: y
- NBLA token 17 unused: malignidad.
- NBLA token 18 unused: Son
- NBLA token 19 unused: chismosos,

--- romanos/romanos-1-3 ---
FAIL

- NBLA token 04 unused: acerca
- NBLA token 08 unused: que
- NBLA token 09 unused: nació
- NBLA token 17 unused: carne,

--- romanos/romanos-1-30 ---
FAIL

- NBLA token 10 unused: lo
- NBLA token 11 unused: malo,
- NBLA token 12 unused: desobedientes
- NBLA token 13 unused: a
- NBLA token 14 unused: los
- NBLA token 15 unused: padres,

--- romanos/romanos-1-31 ---
FAIL

- NBLA token 05 unused: confianza,
- NBLA token 06 unused: sin
- NBLA token 07 unused: amor,
- NBLA token 08 unused: despiadados.

--- romanos/romanos-1-32 ---
FAIL

- NBLA token 02 unused: aunque
- NBLA token 03 unused: conocen
- NBLA token 27 unused: aprobación
- NBLA token 28 unused: a
- NBLA token 31 unused: las
- NBLA token 32 unused: practican.

--- romanos/romanos-1-4 ---
FAIL

- NBLA token 01 unused: y
- NBLA token 02 unused: que
- NBLA token 03 unused: fue
- NBLA token 04 unused: declarado
- NBLA token 05 unused: Hijo

--- romanos/romanos-1-5 ---
FAIL

- NBLA token 15 unused: promover
- NBLA token 16 unused: la
- NBLA token 17 unused: obediencia
- NBLA token 18 unused: a
- NBLA token 19 unused: la
- NBLA token 20 unused: fe
- NBLA token 21 unused: entre
- NBLA token 22 unused: todos
- NBLA token 29 unused: nombre;

--- romanos/romanos-1-7 ---
FAIL

- NBLA token 02 unused: todos
- NBLA token 14 unused: santos:
- NBLA token 15 unused: Gracia
- NBLA token 16 unused: y
- NBLA token 17 unused: paz
- NBLA token 18 unused: a

--- romanos/romanos-1-9 ---
FAIL

- NBLA token 19 unused: testigo
- NBLA token 27 unused: ustedes

--- romanos/romanos-10-10 ---
FAIL

- NBLA token 12 unused: boca
- NBLA token 13 unused: se
- NBLA token 14 unused: confiesa
- NBLA token 15 unused: para
- NBLA token 16 unused: salvación.

--- romanos/romanos-10-11 ---
FAIL

- NBLA token 12 unused: SERÁ
- NBLA token 13 unused: AVERGONZADO».

--- romanos/romanos-10-12 ---
FAIL

- NBLA token 01 unused: Porque
- NBLA token 22 unused: los
- NBLA token 23 unused: que
- NBLA token 24 unused: le
- NBLA token 25 unused: invocan;

--- romanos/romanos-10-13 ---
FAIL

- NBLA token 11 unused: SALVO».

--- romanos/romanos-10-14 ---
FAIL

- NBLA token 06 unused: en
- NBLA token 07 unused: quien
- NBLA token 15 unused: Aquel
- NBLA token 16 unused: de
- NBLA token 17 unused: quien
- NBLA token 26 unused: quien
- NBLA token 27 unused: les
- NBLA token 28 unused: predique?

--- romanos/romanos-10-15 ---
FAIL

- NBLA token 19 unused: QUE
- NBLA token 20 unused: ANUNCIAN
- NBLA token 21 unused: EL
- NBLA token 22 unused: EVANGELIO
- NBLA token 23 unused: DEL
- NBLA token 24 unused: BIEN!».

--- romanos/romanos-10-16 ---
FAIL

- NBLA token 18 unused: ANUNCIO?».

--- romanos/romanos-10-17 ---
FAIL

- NBLA token 02 unused: que
- NBLA token 07 unused: oír,
- NBLA token 08 unused: y
- NBLA token 09 unused: el
- NBLA token 10 unused: oír,
- NBLA token 11 unused: por

--- romanos/romanos-10-18 ---
FAIL

- NBLA token 25 unused: SUS
- NBLA token 26 unused: PALABRAS».

--- romanos/romanos-10-19 ---
FAIL

- NBLA token 04 unused: Israel
- NBLA token 23 unused: PUEBLO;
- NBLA token 24 unused: CON
- NBLA token 25 unused: UN
- NBLA token 26 unused: PUEBLO
- NBLA token 27 unused: SIN
- NBLA token 28 unused: ENTENDIMIENTO
- NBLA token 29 unused: LOS
- NBLA token 30 unused: PROVOCARÉ
- NBLA token 31 unused: A
- NBLA token 32 unused: IRA».

--- romanos/romanos-10-2 ---
FAIL

- NBLA token 04 unused: a
- NBLA token 05 unused: su
- NBLA token 06 unused: favor
- NBLA token 07 unused: de
- NBLA token 18 unused: pleno
- NBLA token 19 unused: conocimiento.

--- romanos/romanos-10-20 ---
FAIL

- NBLA token 20 unused: QUE
- NBLA token 21 unused: NO
- NBLA token 22 unused: PREGUNTABAN
- NBLA token 23 unused: POR
- NBLA token 24 unused: MÍ».

--- romanos/romanos-10-21 ---
FAIL

- NBLA token 01 unused: Pero
- NBLA token 02 unused: en
- NBLA token 03 unused: cuanto

--- romanos/romanos-10-3 ---
FAIL

- NBLA token 04 unused: justicia
- NBLA token 11 unused: suya
- NBLA token 12 unused: propia,
- NBLA token 13 unused: no
- NBLA token 14 unused: se
- NBLA token 15 unused: sometieron
- NBLA token 16 unused: a

--- romanos/romanos-10-4 ---
FAIL

- NBLA token 10 unused: justicia
- NBLA token 11 unused: a
- NBLA token 12 unused: todo
- NBLA token 13 unused: aquel
- NBLA token 14 unused: que
- NBLA token 15 unused: cree.

--- romanos/romanos-10-5 ---
FAIL

- NBLA token 05 unused: el
- NBLA token 06 unused: hombre
- NBLA token 07 unused: que
- NBLA token 08 unused: practica
- NBLA token 11 unused: que
- NBLA token 12 unused: es
- NBLA token 13 unused: de

--- romanos/romanos-10-6 ---
FAIL

- NBLA token 01 unused: Pero

--- romanos/romanos-10-7 ---
FAIL

- NBLA token 13 unused: entre
- NBLA token 14 unused: los
- NBLA token 15 unused: muertos».

--- romanos/romanos-11-1 ---
FAIL

- NBLA token 23 unused: tribu
- NBLA token 24 unused: de
- NBLA token 25 unused: Benjamín.

--- romanos/romanos-11-12 ---
FAIL

- NBLA token 04 unused: transgresión
- NBLA token 05 unused: es
- NBLA token 06 unused: riqueza
- NBLA token 07 unused: para

--- romanos/romanos-11-14 ---
FAIL

- NBLA token 14 unused: algunos
- NBLA token 15 unused: de
- NBLA token 16 unused: ellos.

--- romanos/romanos-11-15 ---
FAIL

- NBLA token 03 unused: el
- NBLA token 04 unused: excluirlos
- NBLA token 05 unused: a
- NBLA token 06 unused: ellos
- NBLA token 07 unused: es
- NBLA token 21 unused: muertos?

--- romanos/romanos-11-16 ---
FAIL

- NBLA token 21 unused: santa,
- NBLA token 22 unused: también
- NBLA token 23 unused: lo
- NBLA token 24 unused: son
- NBLA token 25 unused: las
- NBLA token 26 unused: ramas.

--- romanos/romanos-11-17 ---
FAIL

- NBLA token 28 unused: savia
- NBLA token 29 unused: de
- NBLA token 30 unused: la
- NBLA token 31 unused: raíz
- NBLA token 32 unused: del
- NBLA token 33 unused: olivo,

--- romanos/romanos-11-18 ---
FAIL

- NBLA token 10 unused: eres
- NBLA token 11 unused: arrogante,
- NBLA token 12 unused: recuerda
- NBLA token 13 unused: que
- NBLA token 14 unused: tú
- NBLA token 17 unused: el
- NBLA token 18 unused: que
- NBLA token 19 unused: sustenta
- NBLA token 25 unused: raíz
- NBLA token 26 unused: es
- NBLA token 30 unused: sustenta
- NBLA token 31 unused: a
- NBLA token 32 unused: ti.

--- romanos/romanos-11-19 ---
FAIL

- NBLA token 11 unused: injertado».

--- romanos/romanos-11-2 ---
FAIL

- NBLA token 01 unused: Dios
- NBLA token 12 unused: anterioridad.
- NBLA token 13 unused: ¿O
- NBLA token 31 unused: Israel:

--- romanos/romanos-11-20 ---
FAIL

- NBLA token 19 unused: sino
- NBLA token 20 unused: teme;

--- romanos/romanos-11-22 ---
FAIL

- NBLA token 33 unused: cortado.

--- romanos/romanos-11-23 ---
FAIL

- NBLA token 03 unused: ellos,
- NBLA token 18 unused: de
- NBLA token 19 unused: nuevo.

--- romanos/romanos-11-24 ---
FAIL

- NBLA token 28 unused: más
- NBLA token 29 unused: estos,
- NBLA token 30 unused: que
- NBLA token 31 unused: son
- NBLA token 32 unused: las
- NBLA token 33 unused: ramas
- NBLA token 34 unused: naturales,
- NBLA token 35 unused: serán
- NBLA token 36 unused: injertados
- NBLA token 37 unused: en
- NBLA token 38 unused: su
- NBLA token 39 unused: propio
- NBLA token 40 unused: olivo?

--- romanos/romanos-11-25 ---
FAIL

- NBLA token 30 unused: entrado
- NBLA token 31 unused: la
- NBLA token 32 unused: plenitud

--- romanos/romanos-11-26 ---
FAIL

- NBLA token 18 unused: DE
- NBLA token 19 unused: JACOB.

--- romanos/romanos-11-28 ---
FAIL

- NBLA token 11 unused: pero
- NBLA token 12 unused: en
- NBLA token 13 unused: cuanto
- NBLA token 14 unused: a
- NBLA token 18 unused: Dios,
- NBLA token 19 unused: son
- NBLA token 20 unused: amados

--- romanos/romanos-11-3 ---
FAIL

- NBLA token 21 unused: VIDA?».

--- romanos/romanos-11-30 ---
FAIL

- NBLA token 03 unused: como
- NBLA token 09 unused: desobedientes
- NBLA token 10 unused: a
- NBLA token 11 unused: Dios,
- NBLA token 19 unused: por
- NBLA token 20 unused: razón
- NBLA token 21 unused: de
- NBLA token 22 unused: la
- NBLA token 23 unused: desobediencia
- NBLA token 24 unused: de
- NBLA token 25 unused: ellos,

--- romanos/romanos-11-31 ---
FAIL

- NBLA token 19 unused: ahora
- NBLA token 20 unused: les
- NBLA token 21 unused: sea
- NBLA token 22 unused: mostrada
- NBLA token 23 unused: misericordia.

--- romanos/romanos-11-33 ---
FAIL

- NBLA token 22 unused: Sus
- NBLA token 23 unused: caminos!

--- romanos/romanos-11-34 ---
FAIL

- NBLA token 12 unused: A
- NBLA token 13 unused: SER
- NBLA token 14 unused: SU
- NBLA token 15 unused: CONSEJERO?

--- romanos/romanos-11-35 ---
FAIL

- NBLA token 09 unused: PARA
- NBLA token 10 unused: QUE
- NBLA token 11 unused: SE
- NBLA token 12 unused: LE
- NBLA token 13 unused: TENGA
- NBLA token 14 unused: QUE
- NBLA token 15 unused: RECOMPENSAR?

--- romanos/romanos-11-36 ---
FAIL

- NBLA token 15 unused: sea

--- romanos/romanos-11-4 ---
FAIL

- NBLA token 19 unused: RODILLA
- NBLA token 20 unused: A
- NBLA token 21 unused: BAAL».

--- romanos/romanos-11-5 ---
FAIL

- NBLA token 08 unused: quedado
- NBLA token 09 unused: en
- NBLA token 18 unused: elección
- NBLA token 19 unused: de
- NBLA token 20 unused: la
- NBLA token 21 unused: gracia
- NBLA token 22 unused: de
- NBLA token 23 unused: Dios.

--- romanos/romanos-11-6 ---
FAIL

- NBLA token 09 unused: a
- NBLA token 10 unused: base
- NBLA token 11 unused: de
- NBLA token 12 unused: obras,
- NBLA token 13 unused: de
- NBLA token 14 unused: otra
- NBLA token 15 unused: manera
- NBLA token 21 unused: gracia.
- NBLA token 22 unused: Y
- NBLA token 23 unused: si
- NBLA token 24 unused: por
- NBLA token 25 unused: obras,
- NBLA token 26 unused: ya
- NBLA token 27 unused: no
- NBLA token 28 unused: es
- NBLA token 29 unused: gracia;
- NBLA token 30 unused: de
- NBLA token 31 unused: otra
- NBLA token 32 unused: manera
- NBLA token 33 unused: la
- NBLA token 34 unused: obra
- NBLA token 35 unused: ya
- NBLA token 36 unused: no
- NBLA token 37 unused: es
- NBLA token 38 unused: obra.

--- romanos/romanos-11-7 ---
FAIL

- NBLA token 03 unused: Aquello
- NBLA token 15 unused: escogidos
- NBLA token 16 unused: lo
- NBLA token 17 unused: alcanzaron
- NBLA token 18 unused: y

--- romanos/romanos-11-8 ---
FAIL

- NBLA token 23 unused: EL
- NBLA token 24 unused: DÍA
- NBLA token 25 unused: DE
- NBLA token 26 unused: HOY».

--- romanos/romanos-12-1 ---
FAIL

- NBLA token 21 unused: a
- NBLA token 22 unused: Dios,
- NBLA token 23 unused: que
- NBLA token 24 unused: es

--- romanos/romanos-12-11 ---
FAIL

- NBLA token 14 unused: al
- NBLA token 15 unused: Señor,

--- romanos/romanos-12-12 ---
FAIL

- NBLA token 05 unused: perseverando
- NBLA token 06 unused: en
- NBLA token 07 unused: el
- NBLA token 08 unused: sufrimiento,
- NBLA token 09 unused: dedicados

--- romanos/romanos-12-13 ---
FAIL

- NBLA token 03 unused: las
- NBLA token 04 unused: necesidades

--- romanos/romanos-12-14 ---
FAIL

- NBLA token 07 unused: Bendigan,
- NBLA token 08 unused: y

--- romanos/romanos-12-15 ---
FAIL

- NBLA token 07 unused: y
- NBLA token 08 unused: lloren
- NBLA token 09 unused: con
- NBLA token 10 unused: los
- NBLA token 11 unused: que
- NBLA token 12 unused: lloran.

--- romanos/romanos-12-16 ---
FAIL

- NBLA token 01 unused: Tengan
- NBLA token 11 unused: en
- NBLA token 12 unused: su
- NBLA token 13 unused: pensar,
- NBLA token 14 unused: sino
- NBLA token 15 unused: condescendiendo
- NBLA token 16 unused: con

--- romanos/romanos-12-17 ---
FAIL

- NBLA token 11 unused: delante
- NBLA token 12 unused: de
- NBLA token 13 unused: todos
- NBLA token 14 unused: los
- NBLA token 15 unused: hombres.

--- romanos/romanos-12-18 ---
FAIL

- NBLA token 09 unused: estén
- NBLA token 10 unused: en
- NBLA token 11 unused: paz
- NBLA token 12 unused: con
- NBLA token 13 unused: todos
- NBLA token 14 unused: los
- NBLA token 15 unused: hombres.

--- romanos/romanos-12-19 ---
FAIL

- NBLA token 09 unused: lugar
- NBLA token 21 unused: VENGANZA,
- NBLA token 22 unused: YO
- NBLA token 23 unused: PAGARÉ»,
- NBLA token 24 unused: dice
- NBLA token 25 unused: el
- NBLA token 26 unused: Señor.

--- romanos/romanos-12-20 ---
FAIL

- NBLA token 25 unused: CABEZA».

--- romanos/romanos-12-3 ---
FAIL

- NBLA token 18 unused: que
- NBLA token 22 unused: sí
- NBLA token 23 unused: mismo
- NBLA token 24 unused: más
- NBLA token 25 unused: de
- NBLA token 26 unused: lo
- NBLA token 43 unused: ha
- NBLA token 44 unused: distribuido
- NBLA token 45 unused: a
- NBLA token 46 unused: cada
- NBLA token 47 unused: uno.

--- romanos/romanos-12-4 ---
FAIL

- NBLA token 11 unused: no
- NBLA token 12 unused: todos

--- romanos/romanos-12-5 ---
FAIL

- NBLA token 18 unused: otros.

--- romanos/romanos-12-6 ---
FAIL

- NBLA token 15 unused: el
- NBLA token 16 unused: de
