continuity_field_id	book	chapter	verse	reference	stream_index	predication_id	persistence_score	transition_score	extension_score	weakening_score	field_state	evidence
CF00046	1corintios	1	29	1:29	46	1corintios-1-29-P01	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:moderate""]"
CF00047	1corintios	1	30	1:30	47	1corintios-1-30-P01	2	4	1	2	transitioning	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:stabilized"", ""paso9:low""]"
CF00048	1corintios	1	30	1:30	48	1corintios-1-30-P02	2	4	1	2	transitioning	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:stabilized"", ""paso9:low""]"
CF00049	1corintios	1	31	1:31	49	1corintios-1-31-P01	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00050	1corintios	1	31	1:31	50	1corintios-1-31-P02	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:moderate""]"
CF00051	1corintios	2	1	2:1	51	1corintios-2-1-P01	2	4	1	2	transitioning	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:stabilized"", ""paso9:low""]"
CF00052	1corintios	2	2	2:2	52	1corintios-2-2-P01	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00053	1corintios	2	3	2:3	53	1corintios-2-3-P01	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00054	1corintios	2	5	2:5	54	1corintios-2-5-P01	0	6	0	4	unstable	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:continued_instability"", ""paso9:low""]"
CF00055	1corintios	2	6	2:6	55	1corintios-2-6-P01	2	4	1	2	transitioning	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:stabilized"", ""paso9:moderate""]"
CF00056	1corintios	2	7	2:7	56	1corintios-2-7-P01	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00057	1corintios	2	7	2:7	57	1corintios-2-7-P02	2	4	1	2	transitioning	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:stabilized"", ""paso9:low""]"
CF00058	1corintios	2	8	2:8	58	1corintios-2-8-P01	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00059	1corintios	2	8	2:8	59	1corintios-2-8-P02	0	2	0	1	recovering	"[""continuity:shift"", ""audit:weak_shift"", ""paso9:low""]"
CF00060	1corintios	2	8	2:8	60	1corintios-2-8-P03	3	0	3	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:moderate""]"
CF00061	1corintios	2	9	2:9	61	1corintios-2-9-P01	0	2	0	1	recovering	"[""continuity:shift"", ""audit:weak_shift"", ""paso9:low""]"
CF00062	1corintios	2	9	2:9	62	1corintios-2-9-P02	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:moderate""]"
CF00063	1corintios	2	9	2:9	63	1corintios-2-9-P03	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00064	1corintios	2	9	2:9	64	1corintios-2-9-P04	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00065	1corintios	2	9	2:9	65	1corintios-2-9-P05	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00066	1corintios	2	10	2:10	66	1corintios-2-10-P01	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00067	1corintios	2	10	2:10	67	1corintios-2-10-P02	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00068	1corintios	2	11	2:11	68	1corintios-2-11-P01	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00069	1corintios	2	11	2:11	69	1corintios-2-11-P02	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00070	1corintios	2	12	2:12	70	1corintios-2-12-P01	2	4	2	2	transitioning	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:stabilized"", ""paso9:moderate""]"
CF00071	1corintios	2	12	2:12	71	1corintios-2-12-P02	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00072	1corintios	2	13	2:13	72	1corintios-2-13-P01	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:moderate""]"
CF00073	1corintios	2	14	2:14	73	1corintios-2-14-P01	2	4	1	2	transitioning	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:stabilized"", ""paso9:low""]"
CF00074	1corintios	2	14	2:14	74	1corintios-2-14-P02	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00075	1corintios	2	14	2:14	75	1corintios-2-14-P03	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00076	1corintios	2	14	2:14	76	1corintios-2-14-P04	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00077	1corintios	2	15	2:15	77	1corintios-2-15-P01	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:moderate""]"
CF00078	1corintios	2	15	2:15	78	1corintios-2-15-P02	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00079	1corintios	2	16	2:16	79	1corintios-2-16-P01	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00080	1corintios	2	16	2:16	80	1corintios-2-16-P02	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00081	1corintios	2	16	2:16	81	1corintios-2-16-P03	0	6	0	4	unstable	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:continued_instability"", ""paso9:low""]"
CF00082	1corintios	3	1	3:1	82	1corintios-3-1-P01	0	2	0	1	recovering	"[""continuity:shift"", ""audit:weak_shift"", ""paso9:low""]"
CF00083	1corintios	3	2	3:2	83	1corintios-3-2-P01	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00084	1corintios	3	2	3:2	84	1corintios-3-2-P02	2	4	1	2	transitioning	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:stabilized"", ""paso9:low""]"
CF00085	1corintios	3	2	3:2	85	1corintios-3-2-P03	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00086	1corintios	3	3	3:3	86	1corintios-3-3-P01	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00087	1corintios	3	3	3:3	87	1corintios-3-3-P02	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00088	1corintios	3	3	3:3	88	1corintios-3-3-P03	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00089	1corintios	3	4	3:4	89	1corintios-3-4-P01	0	6	0	4	unstable	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:continued_instability"", ""paso9:low""]"
CF00090	1corintios	3	4	3:4	90	1corintios-3-4-P02	0	6	0	4	unstable	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:continued_instability"", ""paso9:low""]"
CF00091	1corintios	3	4	3:4	91	1corintios-3-4-P03	0	6	0	4	unstable	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:continued_instability"", ""paso9:low""]"
CF00092	1corintios	3	5	3:5	92	1corintios-3-5-P01	0	6	0	4	unstable	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:continued_instability"", ""paso9:low""]"
CF00093	1corintios	3	5	3:5	93	1corintios-3-5-P02	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00094	1corintios	3	5	3:5	94	1corintios-3-5-P03	0	6	0	4	unstable	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:continued_instability"", ""paso9:low""]"
CF00095	1corintios	3	5	3:5	95	1corintios-3-5-P04	0	6	0	4	unstable	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:continued_instability"", ""paso9:low""]"
CF00096	1corintios	3	6	3:6	96	1corintios-3-6-P01	2	4	1	2	transitioning	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:stabilized"", ""paso9:moderate""]"
CF00097	1corintios	3	6	3:6	97	1corintios-3-6-P02	2	4	1	2	transitioning	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:stabilized"", ""paso9:low""]"
CF00098	1corintios	3	6	3:6	98	1corintios-3-6-P03	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00099	1corintios	3	7	3:7	99	1corintios-3-7-P01	3	1	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:moderate""]"
CF00100	1corintios	3	8	3:8	100	1corintios-3-8-P01	0	2	0	1	recovering	"[""continuity:shift"", ""audit:weak_shift"", ""paso9:low""]"
CF00101	1corintios	3	8	3:8	101	1corintios-3-8-P02	0	2	0	1	recovering	"[""continuity:shift"", ""audit:weak_shift"", ""paso9:low""]"
CF00102	1corintios	3	9	3:9	102	1corintios-3-9-P01	0	6	0	4	unstable	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:continued_instability"", ""paso9:low""]"
CF00103	1corintios	3	9	3:9	103	1corintios-3-9-P02	0	6	0	4	unstable	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:continued_instability"", ""paso9:low""]"
CF00104	1corintios	3	10	3:10	104	1corintios-3-10-P01	2	4	1	2	transitioning	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:stabilized"", ""paso9:low""]"
CF00105	1corintios	3	10	3:10	105	1corintios-3-10-P02	2	4	1	2	transitioning	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:stabilized"", ""paso9:moderate""]"
CF00106	1corintios	3	10	3:10	106	1corintios-3-10-P03	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00107	1corintios	3	10	3:10	107	1corintios-3-10-P04	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00108	1corintios	3	11	3:11	108	1corintios-3-11-P01	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00109	1corintios	3	11	3:11	109	1corintios-3-11-P02	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00110	1corintios	3	12	3:12	110	1corintios-3-12-P01	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00111	1corintios	3	13	3:13	111	1corintios-3-13-P01	3	0	3	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:moderate""]"
CF00112	1corintios	3	13	3:13	112	1corintios-3-13-P02	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00113	1corintios	3	13	3:13	113	1corintios-3-13-P03	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00114	1corintios	3	13	3:13	114	1corintios-3-13-P04	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:moderate""]"
CF00115	1corintios	3	13	3:13	115	1corintios-3-13-P05	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00116	1corintios	3	14	3:14	116	1corintios-3-14-P01	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00117	1corintios	3	14	3:14	117	1corintios-3-14-P02	3	0	3	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:moderate""]"
CF00118	1corintios	3	14	3:14	118	1corintios-3-14-P03	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00119	1corintios	3	15	3:15	119	1corintios-3-15-P01	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00120	1corintios	3	15	3:15	120	1corintios-3-15-P02	3	0	3	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:moderate""]"
CF00121	1corintios	3	15	3:15	121	1corintios-3-15-P03	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00122	1corintios	3	16	3:16	122	1corintios-3-16-P01	2	4	1	2	transitioning	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:stabilized"", ""paso9:low""]"
CF00123	1corintios	3	16	3:16	123	1corintios-3-16-P02	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00124	1corintios	3	16	3:16	124	1corintios-3-16-P03	2	4	1	2	transitioning	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:stabilized"", ""paso9:moderate""]"
CF00125	1corintios	3	17	3:17	125	1corintios-3-17-P01	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00126	1corintios	3	17	3:17	126	1corintios-3-17-P02	3	0	3	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:moderate""]"
CF00127	1corintios	3	17	3:17	127	1corintios-3-17-P03	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00128	1corintios	3	17	3:17	128	1corintios-3-17-P04	2	4	1	2	transitioning	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:stabilized"", ""paso9:low""]"
CF00129	1corintios	3	18	3:18	129	1corintios-3-18-P01	2	4	1	2	transitioning	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:stabilized"", ""paso9:low""]"
CF00130	1corintios	3	18	3:18	130	1corintios-3-18-P02	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00131	1corintios	3	18	3:18	131	1corintios-3-18-P03	3	0	3	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:moderate""]"
CF00132	1corintios	3	18	3:18	132	1corintios-3-18-P04	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00133	1corintios	3	19	3:19	133	1corintios-3-19-P01	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:moderate""]"
CF00134	1corintios	3	19	3:19	134	1corintios-3-19-P02	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00135	1corintios	3	20	3:20	135	1corintios-3-20-P01	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00136	1corintios	3	20	3:20	136	1corintios-3-20-P02	0	2	0	1	recovering	"[""continuity:shift"", ""audit:weak_shift"", ""paso9:low""]"
CF00137	1corintios	3	21	3:21	137	1corintios-3-21-P01	0	3	0	1	transitioning	"[""continuity:shift"", ""audit:weak_shift"", ""paso9:moderate""]"
CF00138	1corintios	3	21	3:21	138	1corintios-3-21-P02	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00139	1corintios	4	1	4:1	139	1corintios-4-1-P01	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00140	1corintios	4	2	4:2	140	1corintios-4-2-P01	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00141	1corintios	4	2	4:2	141	1corintios-4-2-P02	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00142	1corintios	4	3	4:3	142	1corintios-4-3-P01	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:moderate""]"
CF00143	1corintios	4	3	4:3	143	1corintios-4-3-P02	2	4	1	2	transitioning	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:stabilized"", ""paso9:low""]"
CF00144	1corintios	4	3	4:3	144	1corintios-4-3-P03	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:moderate""]"
CF00145	1corintios	4	4	4:4	145	1corintios-4-4-P01	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00146	1corintios	4	4	4:4	146	1corintios-4-4-P02	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00147	1corintios	4	4	4:4	147	1corintios-4-4-P03	0	6	0	4	unstable	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:continued_instability"", ""paso9:low""]"
CF00148	1corintios	4	5	4:5	148	1corintios-4-5-P01	2	5	1	2	transitioning	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:stabilized"", ""paso9:moderate""]"
CF00149	1corintios	4	5	4:5	149	1corintios-4-5-P02	2	4	1	2	transitioning	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:stabilized"", ""paso9:low""]"
CF00150	1corintios	4	5	4:5	150	1corintios-4-5-P03	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00151	1corintios	4	5	4:5	151	1corintios-4-5-P04	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00152	1corintios	4	5	4:5	152	1corintios-4-5-P05	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00153	1corintios	4	6	4:6	153	1corintios-4-6-P01	0	6	0	4	unstable	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:continued_instability"", ""paso9:low""]"
CF00154	1corintios	4	6	4:6	154	1corintios-4-6-P02	0	6	0	4	unstable	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:continued_instability"", ""paso9:low""]"
CF00155	1corintios	4	6	4:6	155	1corintios-4-6-P03	0	6	0	4	unstable	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:continued_instability"", ""paso9:moderate""]"
CF00156	1corintios	4	6	4:6	156	1corintios-4-6-P04	0	6	0	4	unstable	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:continued_instability"", ""paso9:low""]"
CF00157	1corintios	4	7	4:7	157	1corintios-4-7-P01	2	4	1	2	transitioning	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:stabilized"", ""paso9:moderate""]"
CF00158	1corintios	4	7	4:7	158	1corintios-4-7-P02	2	4	1	2	transitioning	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:stabilized"", ""paso9:low""]"
CF00159	1corintios	4	7	4:7	159	1corintios-4-7-P03	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00160	1corintios	4	7	4:7	160	1corintios-4-7-P04	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00161	1corintios	4	7	4:7	161	1corintios-4-7-P05	3	0	3	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:moderate""]"
CF00162	1corintios	4	8	4:8	162	1corintios-4-8-P01	0	2	0	1	recovering	"[""continuity:shift"", ""audit:weak_shift"", ""paso9:low""]"
CF00163	1corintios	4	8	4:8	163	1corintios-4-8-P02	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00164	1corintios	4	8	4:8	164	1corintios-4-8-P03	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00165	1corintios	4	8	4:8	165	1corintios-4-8-P04	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00166	1corintios	4	8	4:8	166	1corintios-4-8-P05	0	6	0	4	unstable	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:continued_instability"", ""paso9:low""]"
CF00167	1corintios	4	9	4:9	167	1corintios-4-9-P01	0	2	0	1	recovering	"[""continuity:shift"", ""audit:weak_shift"", ""paso9:moderate""]"
