BOOK	CH	VS	CLAUSE_ID	FINITE_GREEK	NODE_TYPE	PARENT_CLAUSE	RELATIONSHIP_TYPE	TREE_DEPTH	OWNERSHIP_CONFIDENCE	TREE_STATUS	SPAN_TEXT	NOTES
1corintios	1	17	C2	κενωθῇ	leaf	C1	coordinate	1	medium	suggested	ἵνα μὴ ==κενωθῇ== ὁ σταυρὸς τοῦ χριστοῦ	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	1	18	C1	ἐστίν	root-parent			0		unresolved-root	ὁ λόγος γὰρ ὁ τοῦ σταυροῦ τοῖς μὲν ἀπολλυμένοις μωρία ==ἐστίν== τοῖς δὲ σῳζομένοις ἡμῖν δύναμις θεοῦ	no ownership relationship resolved
1corintios	1	18	C2	ἐστιν	leaf	C1	coordinate	1	medium	suggested	==ἐστιν==	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	1	19	C1	γέγραπται	root-parent			0		unresolved-root	==γέγραπται== γάρ	no ownership relationship resolved
1corintios	1	19	C2	ἀπολῶ	internal-node	C1	subordinate	1	medium	suggested	==ἀπολῶ== τὴν σοφίαν τῶν σοφῶν καὶ τὴν σύνεσιν τῶν συνετῶν	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	1	19	C3	ἀθετήσω	leaf	C2	coordinate	2	medium	suggested	==ἀθετήσω==	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	1	20	C1	ἐμώρανεν	root-or-unresolved			0		unresolved-root	ποῦ σοφός ποῦ γραμματεύς ποῦ συζητητὴς τοῦ αἰῶνος τούτου οὐχὶ ==ἐμώρανεν== ὁ θεὸς τὴν σοφίαν τοῦ κόσμου	no ownership relationship resolved
1corintios	1	21	C1	ἔγνω	root-or-unresolved			0		unresolved-root	ἐπειδὴ γὰρ ἐν τῇ σοφίᾳ τοῦ θεοῦ οὐκ ==ἔγνω== ὁ κόσμος διὰ τῆς σοφίας τὸν θεόν	no ownership relationship resolved
1corintios	1	21	C2	εὐδόκησεν	root-or-unresolved			0		unresolved-root	==εὐδόκησεν== ὁ θεὸς διὰ τῆς μωρίας τοῦ κηρύγματος σῶσαι τοὺς πιστεύοντας	no ownership relationship resolved
1corintios	1	22	C1	αἰτοῦσιν	root-parent			0		unresolved-root	ἐπειδὴ καὶ ἰουδαῖοι σημεῖα ==αἰτοῦσιν== καὶ ἕλληνες σοφίαν	no ownership relationship resolved
1corintios	1	22	C2	ζητοῦσιν	leaf	C1	coordinate	1	medium	suggested	==ζητοῦσιν==	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	1	23	C1	κηρύσσομεν	root-or-unresolved			0		unresolved-root	ἡμεῖς δὲ ==κηρύσσομεν== χριστὸν ἐσταυρωμένον ἰουδαίοις μὲν σκάνδαλον ἔθνεσιν δὲ μωρίαν	no ownership relationship resolved
1corintios	1	25	C1	ἐστίν	root-or-unresolved			0		unresolved-root	ὅτι τὸ μωρὸν τοῦ θεοῦ σοφώτερον τῶν ἀνθρώπων ==ἐστίν== καὶ τὸ ἀσθενὲς τοῦ θεοῦ ἰσχυρότερον τῶν ἀνθρώπων	no ownership relationship resolved
1corintios	1	26	C1	βλέπετε	root-or-unresolved			0		unresolved-root	==βλέπετε== γὰρ τὴν κλῆσιν ὑμῶν ἀδελφοί ὅτι οὐ πολλοὶ σοφοὶ κατὰ σάρκα οὐ πολλοὶ δυνατοί οὐ πολλοὶ εὐγενεῖς	no ownership relationship resolved
1corintios	1	27	C1	ἐξελέξατο	root-parent			0		unresolved-root	ἀλλὰ τὰ μωρὰ τοῦ κόσμου ==ἐξελέξατο== ὁ θεός	no ownership relationship resolved
1corintios	1	27	C2	καταισχύνῃ	internal-node	C1	subordinate	1	medium	suggested	ἵνα ==καταισχύνῃ== τοὺς σοφούς καὶ τὰ ἀσθενῆ τοῦ κόσμου	context-sensitive function; keep as suggested; subordinating connector before/near target finite clause; source and target clauses available
1corintios	1	27	C3	ἐξελέξατο	internal-node	C2	coordinate	2	medium	suggested	==ἐξελέξατο== ὁ θεός	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	1	27	C4	καταισχύνῃ	leaf	C3	subordinate	3	medium	suggested	ἵνα ==καταισχύνῃ== τὰ ἰσχυρά	context-sensitive function; keep as suggested; subordinating connector before/near target finite clause; source and target clauses available
1corintios	1	28	C1	ἐξελέξατο	root-parent			0		unresolved-root	καὶ τὰ ἀγενῆ τοῦ κόσμου καὶ τὰ ἐξουθενημένα ==ἐξελέξατο== ὁ θεός τὰ μὴ ὄντα ἵνα τὰ ὄντα	no ownership relationship resolved
1corintios	1	28	C2	καταργήσῃ	leaf	C1	subordinate	1	medium	suggested	==καταργήσῃ==	context-sensitive function; keep as suggested; subordinating connector before/near target finite clause; source and target clauses available
1corintios	1	29	C1	καυχήσηται	root-or-unresolved			0		unresolved-root	ὅπως μὴ ==καυχήσηται== πᾶσα σὰρξ ἐνώπιον τοῦ θεοῦ	no ownership relationship resolved
1corintios	1	30	C1	ἐστε	root-or-unresolved			0		unresolved-root	ἐξ αὐτοῦ δὲ ὑμεῖς ==ἐστε== ἐν χριστῷ ἰησοῦ ὃς	no ownership relationship resolved
1corintios	1	30	C2	ἐγενήθη	root-or-unresolved			0		unresolved-root	==ἐγενήθη== σοφία ἡμῖν ἀπὸ θεοῦ δικαιοσύνη τε καὶ ἁγιασμὸς καὶ ἀπολύτρωσις	no ownership relationship resolved
1corintios	1	31	C1	γέγραπται	root-or-unresolved			0		unresolved-root	ἵνα καθὼς ==γέγραπται== ὁ καυχώμενος ἐν κυρίῳ	no ownership relationship resolved
1corintios	1	31	C2	καυχάσθω	root-or-unresolved			0		unresolved-root	==καυχάσθω==	no ownership relationship resolved
1corintios	2	1	C1	ἦλθον	root-or-unresolved			0		unresolved-root	κἀγὼ ἐλθὼν πρὸς ὑμᾶς ἀδελφοί ==ἦλθον== οὐ καθʼ ὑπεροχὴν λόγου ἢ σοφίας καταγγέλλων ὑμῖν τὸ μαρτύριον τοῦ θεοῦ	no ownership relationship resolved
1corintios	2	2	C1	ἔκρινά	root-or-unresolved			0		unresolved-root	οὐ γὰρ ==ἔκρινά== τι εἰδέναι ἐν ὑμῖν εἰ μὴ ἰησοῦν χριστὸν καὶ τοῦτον ἐσταυρωμένον	no ownership relationship resolved
1corintios	2	3	C1	ἐγενόμην	root-or-unresolved			0		unresolved-root	κἀγὼ ἐν ἀσθενείᾳ καὶ ἐν φόβῳ καὶ ἐν τρόμῳ πολλῷ ==ἐγενόμην== πρὸς ὑμᾶς	no ownership relationship resolved
1corintios	2	5	C1	ᾖ	root-or-unresolved			0		unresolved-root	ἵνα ἡ πίστις ὑμῶν μὴ ==ᾖ== ἐν σοφίᾳ ἀνθρώπων ἀλλʼ ἐν δυνάμει θεοῦ	no ownership relationship resolved
1corintios	2	6	C1	λαλοῦμεν	root-or-unresolved			0		unresolved-root	σοφίαν δὲ ==λαλοῦμεν== ἐν τοῖς τελείοις σοφίαν δὲ οὐ τοῦ αἰῶνος τούτου οὐδὲ τῶν ἀρχόντων τοῦ αἰῶνος τούτου τῶν καταργουμένων	no ownership relationship resolved
1corintios	2	7	C1	λαλοῦμεν	root-or-unresolved			0		unresolved-root	ἀλλὰ ==λαλοῦμεν== θεοῦ σοφίαν ἐν μυστηρίῳ τὴν ἀποκεκρυμμένην ἣν	no ownership relationship resolved
1corintios	2	7	C2	προώρισεν	root-or-unresolved			0		unresolved-root	==προώρισεν== ὁ θεὸς πρὸ τῶν αἰώνων εἰς δόξαν ἡμῶν	no ownership relationship resolved
1corintios	2	8	C1	ἔγνωκεν	root-parent			0		unresolved-root	ἣν οὐδεὶς τῶν ἀρχόντων τοῦ αἰῶνος τούτου ==ἔγνωκεν== εἰ γὰρ	no ownership relationship resolved
1corintios	2	8	C2	ἔγνωσαν	leaf	C1	subordinate	1	medium	suggested	==ἔγνωσαν== οὐκ ἂν τὸν κύριον τῆς δόξης	function follows connector inventory; subordinating connector before/near target finite clause; source and target clauses available
1corintios	2	8	C3	ἐσταύρωσαν	root-or-unresolved			0		unresolved-root	==ἐσταύρωσαν==	no ownership relationship resolved
1corintios	2	9	C1	γέγραπται	root-or-unresolved			0		unresolved-root	ἀλλὰ καθὼς ==γέγραπται== ἃ ὀφθαλμὸς	no ownership relationship resolved
1corintios	2	9	C2	εἶδεν	root-parent			0		unresolved-root	οὐκ ==εἶδεν== καὶ οὖς	no ownership relationship resolved
1corintios	2	9	C3	ἤκουσεν	internal-node	C2	coordinate	1	medium	suggested	οὐκ ==ἤκουσεν== καὶ ἐπὶ καρδίαν ἀνθρώπου	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	2	9	C4	ἀνέβη	leaf	C3	coordinate	2	medium	suggested	οὐκ ==ἀνέβη== ὅσα	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	2	9	C5	ἡτοίμασεν	root-or-unresolved			0		unresolved-root	==ἡτοίμασεν== ὁ θεὸς τοῖς ἀγαπῶσιν αὐτόν	no ownership relationship resolved
1corintios	2	10	C1	ἀπεκάλυψεν	root-parent			0		unresolved-root	ἡμῖν γὰρ ==ἀπεκάλυψεν== ὁ θεὸς διὰ τοῦ πνεύματος τὸ γὰρ πνεῦμα πάντα	no ownership relationship resolved
1corintios	2	10	C2	ἐραυνᾷ	leaf	C1	subordinate	1	medium	suggested	==ἐραυνᾷ== καὶ τὰ βάθη τοῦ θεοῦ	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	2	11	C1	οἶδεν	root-parent			0		unresolved-root	τίς γὰρ ==οἶδεν== ἀνθρώπων τὰ τοῦ ἀνθρώπου εἰ μὴ τὸ πνεῦμα τοῦ ἀνθρώπου τὸ ἐν αὐτῷ οὕτως καὶ τὰ τοῦ θεοῦ οὐδεὶς	no ownership relationship resolved
1corintios	2	11	C2	ἔγνωκεν	leaf	C1	subordinate	1	medium	suggested	==ἔγνωκεν== εἰ μὴ τὸ πνεῦμα τοῦ θεοῦ	function follows connector inventory; subordinating connector before/near target finite clause; source and target clauses available
1corintios	2	12	C1	ἐλάβομεν	root-parent			0		unresolved-root	ἡμεῖς δὲ οὐ τὸ πνεῦμα τοῦ κόσμου ==ἐλάβομεν== ἀλλὰ τὸ πνεῦμα τὸ ἐκ τοῦ θεοῦ	no ownership relationship resolved
1corintios	2	12	C2	εἰδῶμεν	leaf	C1	coordinate	1	medium	suggested	ἵνα ==εἰδῶμεν== τὰ ὑπὸ τοῦ θεοῦ χαρισθέντα ἡμῖν	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	2	13	C1	λαλοῦμεν	root-or-unresolved			0		unresolved-root	ἃ καὶ ==λαλοῦμεν== οὐκ ἐν διδακτοῖς ἀνθρωπίνης σοφίας λόγοις ἀλλʼ ἐν διδακτοῖς πνεύματος πνευματικοῖς πνευματικὰ συγκρίνοντες	no ownership relationship resolved
1corintios	2	14	C1	δέχεται	root-parent			0		unresolved-root	ψυχικὸς δὲ ἄνθρωπος οὐ ==δέχεται== τὰ τοῦ πνεύματος τοῦ θεοῦ μωρία γὰρ αὐτῷ	no ownership relationship resolved
1corintios	2	14	C2	ἐστίν	internal-node	C1	subordinate	1	medium	suggested	==ἐστίν==	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	2	14	C3	δύναται	internal-node	C2	coordinate	2	medium	suggested	καὶ οὐ ==δύναται== γνῶναι ὅτι πνευματικῶς	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	2	14	C4	ἀνακρίνεται	leaf	C3	subordinate	3	medium	suggested	==ἀνακρίνεται==	context-sensitive function; keep as suggested; subordinating connector before/near target finite clause; source and target clauses available
1corintios	2	15	C1	ἀνακρίνει	root-parent			0		unresolved-root	ὁ δὲ πνευματικὸς ==ἀνακρίνει== τὰ πάντα αὐτὸς δὲ ὑπʼ οὐδενὸς	no ownership relationship resolved
1corintios	2	15	C2	ἀνακρίνεται	leaf	C1	coordinate	1	medium	suggested	==ἀνακρίνεται==	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	2	16	C1	ἔγνω	root-or-unresolved			0		unresolved-root	τίς γὰρ ==ἔγνω== νοῦν κυρίου ὃς	no ownership relationship resolved
1corintios	2	16	C2	συμβιβάσει	root-parent			0		unresolved-root	==συμβιβάσει== αὐτόν ἡμεῖς δὲ νοῦν χριστοῦ	no ownership relationship resolved
1corintios	2	16	C3	ἔχομεν	leaf	C2	coordinate	1	medium	suggested	==ἔχομεν==	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	3	1	C1	ἠδυνήθην	root-or-unresolved			0		unresolved-root	κἀγώ ἀδελφοί οὐκ ==ἠδυνήθην== λαλῆσαι ὑμῖν ὡς πνευματικοῖς ἀλλʼ ὡς σαρκίνοις ὡς νηπίοις ἐν χριστῷ	no ownership relationship resolved
1corintios	3	2	C1	ἐπότισα	root-parent			0		unresolved-root	γάλα ὑμᾶς ==ἐπότισα== οὐ βρῶμα οὔπω γὰρ	no ownership relationship resolved
1corintios	3	2	C2	ἐδύνασθε	internal-node	C1	subordinate	1	medium	suggested	==ἐδύνασθε== ἀλλʼ οὐδὲ ἔτι νῦν	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	3	2	C3	δύνασθε	leaf	C2	coordinate	2	medium	suggested	==δύνασθε==	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	3	3	C1	ἐστε	root-parent			0		unresolved-root	ἔτι γὰρ σαρκικοί ==ἐστε== ὅπου γὰρ ἐν ὑμῖν ζῆλος καὶ ἔρις οὐχὶ σαρκικοί	no ownership relationship resolved
1corintios	3	3	C2	ἐστε	internal-node	C1	subordinate	1	medium	suggested	==ἐστε== καὶ κατὰ ἄνθρωπον	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	3	3	C3	περιπατεῖτε	leaf	C2	coordinate	2	medium	suggested	==περιπατεῖτε==	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	3	4	C1	λέγῃ	root-or-unresolved			0		unresolved-root	ὅταν γὰρ ==λέγῃ== τις ἐγὼ μέν	no ownership relationship resolved
1corintios	3	4	C2	εἰμι	root-parent			0		unresolved-root	==εἰμι== παύλου ἕτερος δέ ἐγὼ ἀπολλῶ οὐκ ἄνθρωποί	no ownership relationship resolved
1corintios	3	4	C3	ἐστε	leaf	C2	coordinate	1	medium	suggested	==ἐστε==	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	3	5	C1	ἐστιν	root-parent			0		unresolved-root	τί οὖν ==ἐστιν== ἀπολλῶς τί	no ownership relationship resolved
1corintios	3	5	C2	ἐστιν	leaf	C1	coordinate	1	medium	suggested	δέ ==ἐστιν== παῦλος διάκονοι διʼ ὧν	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	3	5	C3	ἐπιστεύσατε	root-parent			0		unresolved-root	==ἐπιστεύσατε== καὶ ἑκάστῳ ὡς ὁ κύριος	no ownership relationship resolved
1corintios	3	5	C4	ἔδωκεν	leaf	C3	coordinate	1	medium	suggested	==ἔδωκεν==	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	3	6	C1	ἐφύτευσα	root-or-unresolved			0		unresolved-root	ἐγὼ ==ἐφύτευσα== ἀπολλῶς	no ownership relationship resolved
1corintios	3	6	C2	ἐπότισεν	root-parent			0		unresolved-root	==ἐπότισεν== ἀλλὰ ὁ θεὸς	no ownership relationship resolved
1corintios	3	6	C3	ηὔξανεν	leaf	C2	coordinate	1	medium	suggested	==ηὔξανεν==	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	3	7	C1	ἐστίν	root-or-unresolved			0		unresolved-root	ὥστε οὔτε ὁ φυτεύων ==ἐστίν== τι οὔτε ὁ ποτίζων ἀλλʼ ὁ αὐξάνων θεός	no ownership relationship resolved
1corintios	3	8	C1	εἰσιν	root-parent			0		unresolved-root	ὁ φυτεύων δὲ καὶ ὁ ποτίζων ἕν ==εἰσιν== ἕκαστος δὲ τὸν ἴδιον μισθὸν	no ownership relationship resolved
1corintios	3	8	C2	λήμψεται	leaf	C1	coordinate	1	medium	suggested	==λήμψεται== κατὰ τὸν ἴδιον κόπον	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	3	9	C1	ἐσμεν	root-or-unresolved			0		unresolved-root	θεοῦ γάρ ==ἐσμεν== συνεργοί θεοῦ γεώργιον θεοῦ οἰκοδομή	no ownership relationship resolved
1corintios	3	9	C2	ἐστε	root-or-unresolved			0		unresolved-root	==ἐστε==	no ownership relationship resolved
1corintios	3	10	C1	ἔθηκα	root-parent			0		unresolved-root	κατὰ τὴν χάριν τοῦ θεοῦ τὴν δοθεῖσάν μοι ὡς σοφὸς ἀρχιτέκτων θεμέλιον ==ἔθηκα== ἄλλος	no ownership relationship resolved
1corintios	3	10	C2	ἐποικοδομεῖ	internal-node	C1	coordinate	1	medium	suggested	δὲ ==ἐποικοδομεῖ== ἕκαστος	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	3	10	C3	βλεπέτω	leaf	C2	coordinate	2	medium	suggested	δὲ ==βλεπέτω== πῶς	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	3	10	C4	ἐποικοδομεῖ	root-or-unresolved			0		unresolved-root	==ἐποικοδομεῖ==	no ownership relationship resolved
1corintios	3	11	C1	δύναται	root-or-unresolved			0		unresolved-root	θεμέλιον γὰρ ἄλλον οὐδεὶς ==δύναται== θεῖναι παρὰ τὸν κείμενον ὅς	no ownership relationship resolved
1corintios	3	11	C2	ἐστιν	root-or-unresolved			0		unresolved-root	==ἐστιν== ἰησοῦς χριστός	no ownership relationship resolved
1corintios	3	12	C1	ἐποικοδομεῖ	root-or-unresolved			0		unresolved-root	εἰ δέ τις ==ἐποικοδομεῖ== ἐπὶ τὸν θεμέλιον χρυσόν ἄργυρον λίθους τιμίους ξύλα χόρτον καλάμην	no ownership relationship resolved
1corintios	3	13	C1	γενήσεται	root-parent			0		unresolved-root	ἑκάστου τὸ ἔργον φανερὸν ==γενήσεται== ἡ γὰρ ἡμέρα	no ownership relationship resolved
1corintios	3	13	C2	δηλώσει	internal-node	C1	subordinate	1	medium	suggested	==δηλώσει== ὅτι ἐν πυρὶ	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	3	13	C3	ἀποκαλύπτεται	internal-node	C2	subordinate	2	medium	suggested	==ἀποκαλύπτεται== καὶ ἑκάστου τὸ ἔργον ὁποῖόν	context-sensitive function; keep as suggested; subordinating connector before/near target finite clause; source and target clauses available
1corintios	3	13	C4	ἐστιν	leaf	C3	coordinate	3	medium	suggested	==ἐστιν== τὸ πῦρ αὐτὸ	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	3	13	C5	δοκιμάσει	root-or-unresolved			0		unresolved-root	==δοκιμάσει==	no ownership relationship resolved
1corintios	3	14	C1	μενεῖ	root-or-unresolved			0		unresolved-root	εἴ τινος τὸ ἔργον ==μενεῖ== ὃ	no ownership relationship resolved
1corintios	3	14	C2	ἐποικοδόμησεν	root-or-unresolved			0		unresolved-root	==ἐποικοδόμησεν== μισθὸν	no ownership relationship resolved
1corintios	3	14	C3	λήμψεται	root-or-unresolved			0		unresolved-root	==λήμψεται==	no ownership relationship resolved
1corintios	3	15	C1	κατακαήσεται	root-or-unresolved			0		unresolved-root	εἴ τινος τὸ ἔργον ==κατακαήσεται==	no ownership relationship resolved
1corintios	3	15	C2	ζημιωθήσεται	root-parent			0		unresolved-root	==ζημιωθήσεται== αὐτὸς	no ownership relationship resolved
1corintios	3	15	C3	σωθήσεται	leaf	C2	coordinate	1	medium	suggested	δὲ ==σωθήσεται== οὕτως δὲ ὡς διὰ πυρός	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	3	16	C1	οἴδατε	root-parent			0		unresolved-root	οὐκ ==οἴδατε== ὅτι ναὸς θεοῦ	no ownership relationship resolved
1corintios	3	16	C2	ἐστε	internal-node	C1	subordinate	1	medium	suggested	==ἐστε== καὶ τὸ πνεῦμα τοῦ θεοῦ	context-sensitive function; keep as suggested; subordinating connector before/near target finite clause; source and target clauses available
1corintios	3	16	C3	οἰκεῖ	leaf	C2	coordinate	2	medium	suggested	==οἰκεῖ== ἐν ὑμῖν	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	3	17	C1	φθείρει	root-or-unresolved			0		unresolved-root	εἴ τις τὸν ναὸν τοῦ θεοῦ ==φθείρει==	no ownership relationship resolved
1corintios	3	17	C2	φθερεῖ	root-parent			0		unresolved-root	==φθερεῖ== τοῦτον ὁ θεός ὁ γὰρ ναὸς τοῦ θεοῦ ἅγιός	no ownership relationship resolved
1corintios	3	17	C3	ἐστιν	leaf	C2	subordinate	1	medium	suggested	==ἐστιν== οἵτινές	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	3	17	C4	ἐστε	root-or-unresolved			0		unresolved-root	==ἐστε== ὑμεῖς	no ownership relationship resolved
1corintios	3	18	C1	ἐξαπατάτω	root-parent			0		unresolved-root	μηδεὶς ἑαυτὸν ==ἐξαπατάτω== εἴ τις	no ownership relationship resolved
1corintios	3	18	C2	δοκεῖ	leaf	C1	subordinate	1	medium	suggested	==δοκεῖ== σοφὸς εἶναι ἐν ὑμῖν ἐν τῷ αἰῶνι τούτῳ μωρὸς	function follows connector inventory; subordinating connector before/near target finite clause; source and target clauses available
1corintios	3	18	C3	γενέσθω	root-parent			0		unresolved-root	==γενέσθω==	no ownership relationship resolved
1corintios	3	18	C4	γένηται	leaf	C3	subordinate	1	medium	suggested	ἵνα ==γένηται== σοφός	context-sensitive function; keep as suggested; subordinating connector before/near target finite clause; source and target clauses available
1corintios	3	19	C1	ἐστιν	root-or-unresolved			0		unresolved-root	ἡ γὰρ σοφία τοῦ κόσμου τούτου μωρία παρὰ τῷ θεῷ ==ἐστιν==	no ownership relationship resolved
