greek_span	nbla_span	count	first_seen	last_seen	alignment_types
εἰς	reúnan	1	1corintios 11:34	1corintios 11:34	direct
εἰς	lenguas	1	1corintios 14:22	1corintios 14:22	direct
εἰς	preparará	1	1corintios 14:8	1corintios 14:8	direct
εἰς	hablarán	1	1corintios 14:9	1corintios 14:9	direct
εἰς	de	1	1cor 4:3	1cor 4:3	expanded
εἰς	una	1	1cor 6:16	1cor 6:16	expanded
εἰς	pleno	1	1corintios 9:18	1corintios 9:18	direct
εἰσέλθωσιν	sin	1	1corintios 14:23	1corintios 14:23	direct
εἰσέλθῃ	y	1	1corintios 14:24	1corintios 14:24	direct
εἰσίν	altar	1	1corintios 10:18	1corintios 10:18	direct
εἰσίν	de	1	1corintios 12:4	1corintios 12:4	direct
εἰσίν	operaciones	1	1corintios 12:6	1corintios 12:6	direct
εἰσακούσονταί	el	1	1corintios 14:21	1corintios 14:21	direct
εἰσιν	hay	1	1cor 1:11	1cor 1:11	direct
εἰσιν	pero	1	1corintios 12:5	1corintios 12:5	direct
εἰσιν	idiomas	1	1corintios 14:10	1corintios 14:10	direct
εἰσιν	una	1	1corintios 14:22	1corintios 14:22	direct
εἰσιν	son	1	1cor 3:8	1cor 3:8	direct
εἰσὶν	son	1	1cor 3:20	1cor 3:20	direct
εἰσὶν	llamados	1	1corintios 8:5	1corintios 8:5	direct
εἰσὶν	hay	1	1corintios 8:5	1corintios 8:5	direct
εἴ	si algún incrédulo los invita y quieren ir coman de todo lo que se les ponga delante sin preguntar nada por motivos de conciencia	1	1corintios 10:27	1corintios 10:27	expanded
εἴ	que si	1	1cor 7:12	1cor 7:12	expanded
εἴ	cuyo	1	1cor 7:13	1cor 7:13	direct
εἴκοσι	mil	1	1corintios 10:8	1corintios 10:8	direct
εἴπερ	algunos	1	1corintios 8:5	1corintios 8:5	direct
εἴπῃ	diga	1	1cor 1:15	1cor 1:15	direct
εἴπῃ	el	1	1corintios 12:15	1corintios 12:15	direct
εἴπῃ	oído	1	1corintios 12:16	1corintios 12:16	direct
εἴτε	entonces ya sea que coman que beban o que hagan cualquier otra cosa háganlo todo para la gloria de dios	1	1corintios 10:31	1corintios 10:31	expanded
εἴτε	ya	1	1corintios 12:13	1corintios 12:13	direct
εἴτε	a	1	1corintios 12:13	1corintios 12:13	direct
εἴτε	miembro	1	1corintios 12:26	1corintios 12:26	direct
εἴτε	y si	1	1corintios 12:26	1corintios 12:26	expanded
εἴτε	de	1	1corintios 13:8	1corintios 13:8	direct
εἴτε	si	1	1corintios 14:27	1corintios 14:27	direct
εἴτε	como la	1	1corintios 14:7	1corintios 14:7	expanded
εἴτε	ya sea	1	1cor 3:22	1cor 3:22	expanded
εἴτε	sea	1	1corintios 8:5	1corintios 8:5	direct
εἴτε	en	1	1corintios 8:5	1corintios 8:5	direct
εἶδεν	vio	1	1cor 2:9	1cor 2:9	direct
εἶναι	nosotros no	1	1corintios 11:16	1corintios 11:16	expanded
εἶναι	fin de	1	1corintios 11:19	1corintios 11:19	expanded
εἶναι	es profeta	1	1corintios 14:37	1corintios 14:37	expanded
εἶναι	es	1	1corintios 7:25	1corintios 7:25	direct
εἶναι	se quede	1	1corintios 7:26	1corintios 7:26	expanded
εἶναι	de preocupación	1	1corintios 7:32	1corintios 7:32	expanded
εἶναι	que fueran	1	1cor 7:7	1cor 7:7	expanded
εἶπεν	dijo	1	1corintios 11:24	1corintios 11:24	direct
εἷς	uno	1	1corintios 14:27	1corintios 14:27	direct
εἷς	de ustedes	1	1cor 4:6	1cor 4:6	expanded
εἷς	dios	1	1corintios 8:4	1corintios 8:4	direct
εἷς	corren	1	1corintios 9:24	1corintios 9:24	direct
εὐαγγέλιον	evangelio	1	1corintios 15:1	1corintios 15:1	direct
εὐαγγέλιον	el	1	1corintios 9:14	1corintios 9:14	direct
εὐαγγέλιον	hacer	1	1corintios 9:18	1corintios 9:18	direct
εὐαγγέλιον	para	1	1corintios 9:23	1corintios 9:23	direct
εὐαγγελίζεσθαι	a predicar el evangelio	1	1cor 1:17	1cor 1:17	expanded
εὐαγγελιζόμενος	pueda	1	1corintios 9:18	1corintios 9:18	direct
εὐγενεῖς	nobles	1	1cor 1:26	1cor 1:26	direct
εὐδόκησεν	agradó	1	1cor 1:21	1cor 1:21	direct
εὐηγγελισάμην	les	1	1corintios 15:1	1corintios 15:1	direct
εὐλογοῦμεν	bendecimos	1	1cor 4:12	1cor 4:12	direct
εὐλογῇς	bendices	1	1corintios 14:16	1corintios 14:16	direct
εὐπάρεδρον	devoción	1	1corintios 7:35	1corintios 7:35	direct
εὐσχήμονα	partes	1	1corintios 12:24	1corintios 12:24	direct
εὐσχημοσύνην	un trato	1	1corintios 12:23	1corintios 12:23	expanded
εὐσχημόνως	se	1	1corintios 14:40	1corintios 14:40	direct
εὐχαριστήσας	después de dar gracias lo	1	1corintios 11:24	1corintios 11:24	expanded
εὐχαριστίᾳ	gracias	1	1corintios 14:16	1corintios 14:16	direct
εὐχαριστεῖς	gracias	1	1corintios 14:17	1corintios 14:17	direct
εὐχαριστῶ	doy gracias a dios	1	1cor 1:14	1cor 1:14	expanded
εὑρεθῇ	sea hallado	1	1cor 4:2	1cor 4:2	expanded
εὔσημον	palabras	1	1corintios 14:9	1corintios 14:9	direct
εὔσχημον	asegurar	1	1corintios 7:35	1corintios 7:35	direct
ζήτει	procures	1	1corintios 7:27	1corintios 7:27	direct
ζήτει	busques	1	1corintios 7:27	1corintios 7:27	direct
ζηλοῖ	amor	1	1corintios 13:4	1corintios 13:4	direct
ζηλοῦτε	pero	1	1corintios 12:31	1corintios 12:31	direct
ζηλοῦτε	amor	1	1corintios 14:1	1corintios 14:1	direct
ζηλοῦτε	míos	1	1corintios 14:39	1corintios 14:39	direct
ζηλωταί	anhelan	1	1corintios 14:12	1corintios 14:12	direct
ζημιωθήσεται	sufrirá pérdida	1	1cor 3:15	1cor 3:15	expanded
ζητεῖ	indecorosamente	1	1corintios 13:5	1corintios 13:5	direct
ζητεῖται	se requiere	1	1cor 4:2	1cor 4:2	expanded
ζητεῖτε	la	1	1corintios 14:12	1corintios 14:12	direct
ζητοῦσιν	buscan	1	1cor 1:22	1cor 1:22	direct
ζυμοῖ	fermenta	1	1cor 5:6	1cor 5:6	direct
ζωὴ	la vida	1	1cor 3:22	1cor 3:22	expanded
ζύμη	de levadura	1	1cor 5:6	1cor 5:6	expanded
ζύμην	levadura	1	1cor 5:7	1cor 5:7	direct
ζῆλος	celos	1	1cor 3:3	1cor 3:3	direct
ζῇ	vive	1	1corintios 7:39	1corintios 7:39	direct
ηὔξανεν	ha dado el crecimiento	1	1cor 3:6	1cor 3:6	expanded
θάνατον	la muerte	1	1corintios 11:26	1corintios 11:26	expanded
θάνατος	la muerte	1	1cor 3:22	1cor 3:22	expanded
θέατρον	un espectáculo	1	1cor 4:9	1cor 4:9	expanded
θέλει	quiera	1	1corintios 7:36	1corintios 7:36	direct
θέλει	desee	1	1corintios 7:39	1corintios 7:39	direct
θέλετε	quieren	1	1cor 4:21	1cor 4:21	direct
θέλω	no quiero	1	1corintios 10:1	1corintios 10:1	expanded
θέλω	pero quiero	1	1corintios 11:3	1corintios 11:3	expanded
θέλω	que sean	1	1corintios 12:1	1corintios 12:1	expanded
θέλω	hablar cinco	1	1corintios 14:19	1corintios 14:19	expanded
θέλω	yo quisiera	1	1corintios 14:5	1corintios 14:5	expanded
θέλω	sin embargo	1	1corintios 7:32	1corintios 7:32	expanded
θέλω	yo desearía	1	1cor 7:7	1cor 7:7	expanded
θήσω	gratuitamente	1	1corintios 9:18	1corintios 9:18	direct
θελήματος	la voluntad	1	1cor 1:1	1cor 1:1	expanded
θελήματος	decidido	1	1corintios 7:37	1corintios 7:37	direct
θελήσῃ	quiere	1	1cor 4:19	1cor 4:19	direct
θεμέλιον	el fundamento	1	1cor 3:10	1cor 3:10	expanded
θεοὶ	ya	1	1corintios 8:5	1corintios 8:5	direct
θεοὶ	muchos	1	1corintios 8:5	1corintios 8:5	direct
θεοῦ	a los	1	1corintios 11:22	1corintios 11:22	expanded
θεοῦ	salió de	1	1corintios 14:36	1corintios 14:36	expanded
θεοῦ;	dios	1	1cor 6:19	1cor 6:19	direct
θεός	es dios	1	1corintios 11:3	1corintios 11:3	expanded
θεὸν	dios	1	1cor 6:20	1cor 6:20	direct
θεὸς	colocado	1	1corintios 12:18	1corintios 12:18	direct
θεὸς	formó	1	1corintios 12:24	1corintios 12:24	direct
θεὸς	designado	1	1corintios 12:28	1corintios 12:28	direct
θεὸς	entre	1	1corintios 14:25	1corintios 14:25	direct
θεὸς	sino	1	1corintios 8:4	1corintios 8:4	direct
θεῖναι	poner	1	1cor 3:11	1cor 3:11	direct
θεῷ	cabeza	1	1corintios 11:13	1corintios 11:13	direct
θεῷ	a dios	1	1corintios 14:2	1corintios 14:2	expanded
θεῷ	que	1	1corintios 14:25	1corintios 14:25	direct
θεῷ	para dios	1	1corintios 14:28	1corintios 14:28	expanded
θλῖψιν	pecado	1	1corintios 7:28	1corintios 7:28	direct
θυσίας	sacrificios	1	1corintios 10:18	1corintios 10:18	direct
θυσιαστηρίου	del	1	1corintios 10:18	1corintios 10:18	direct
κέκληκεν	ha llamado	1	1cor 7:15	1cor 7:15	expanded
κέκληκεν	uno según	1	1corintios 7:17	1corintios 7:17	expanded
κέκρικα	he juzgado	1	1cor 5:3	1cor 5:3	expanded
κέκρικεν	conservar	1	1corintios 7:37	1corintios 7:37	direct
κήρυγμά	predicación	1	1cor 2:4	1cor 2:4	direct
καθʼ	muestro	1	1corintios 12:31	1corintios 12:31	direct
καθʼ	pueden	1	1corintios 14:31	1corintios 14:31	direct
καθʼ	con	1	1cor 2:1	1cor 2:1	direct
καθάπερ	como algunos de ellos murmuraron	1	1corintios 10:10	1corintios 10:10	expanded
καθάπερ	porque así como	1	1corintios 12:12	1corintios 12:12	expanded
καθίζετε	que juzgan los casos por qué ponen por jueces	1	1cor 6:4	1cor 6:4	expanded
καθημένῳ	que está sentado	1	1corintios 14:30	1corintios 14:30	expanded
καθώς	como fueron algunos de ellos	1	1corintios 10:7	1corintios 10:7	expanded
καθώς	como algunos de ellos fornicaron	1	1corintios 10:8	1corintios 10:8	expanded
καθώς	como algunos de ellos lo	1	1corintios 10:9	1corintios 10:9	expanded
καθώς	así como	1	1cor 5:7	1cor 5:7	expanded
καθὼς	así como	1	1cor 1:6	1cor 1:6	expanded
καθὼς	así como también yo procuro agradar a todos en todo no buscando mi propio beneficio sino el de muchos para que sean salvos	1	1corintios 10:33	1corintios 10:33	expanded
καθὼς	como también	1	1corintios 11:1	1corintios 11:1	expanded
καθὼς	según su	1	1corintios 12:11	1corintios 12:11	expanded
καθὼς	agradó	1	1corintios 12:18	1corintios 12:18	direct
καθὼς	sido	1	1corintios 13:12	1corintios 13:12	direct
καθὼς	se	1	1corintios 14:34	1corintios 14:34	direct
καινὴ	nuevo	1	1corintios 11:25	1corintios 11:25	direct
καιροῦ	tiempo sino esperen	1	1cor 4:5	1cor 4:5	expanded
καιρὸν	cierto tiempo	1	1cor 7:5	1cor 7:5	expanded
καιρὸς	tiempo	1	1corintios 7:29	1corintios 7:29	direct
κακίας	de malicia	1	1cor 5:8	1cor 5:8	expanded
κακίᾳ	bien	1	1corintios 14:20	1corintios 14:20	direct
κακόν	mal recibido	1	1corintios 13:5	1corintios 13:5	expanded
καλάμην	paja	1	1cor 3:12	1cor 3:12	direct
καλὸν	es buena	1	1cor 5:6	1cor 5:6	expanded
καλὸν	bueno es	1	1cor 7:1	1cor 7:1	expanded
καλὸν	esto es bueno	1	1corintios 7:26	1corintios 7:26	expanded
καλὸν	porque mejor me fuera morir que permitir que alguien me prive de esta gloria	1	1corintios 9:15	1corintios 9:15	expanded
καλῶς	das	1	1corintios 14:17	1corintios 14:17	direct
καλῶς	bien	1	1corintios 7:38	1corintios 7:38	direct
καρδίαν	corazón	1	1cor 2:9	1cor 2:9	direct
καρδίας	su	1	1corintios 14:25	1corintios 14:25	direct
καρδίᾳ	sin	1	1corintios 7:37	1corintios 7:37	direct
καρδιῶν	corazones	1	1cor 4:5	1cor 4:5	direct
κατʼ	como	1	1cor 7:6	1cor 7:6	direct
κατέχετε	guardan con firmeza	1	1corintios 11:2	1corintios 11:2	expanded
κατέχοντες	tuvieran nada	1	1corintios 7:30	1corintios 7:30	expanded
κατήντησεν	ha llegado	1	1corintios 14:36	1corintios 14:36	expanded
κατήργηκα	dejé	1	1corintios 13:11	1corintios 13:11	direct
καταγγέλλουσιν	evangelio	1	1corintios 9:14	1corintios 9:14	direct
καταγγέλλων	proclamándoles	1	1cor 2:1	1cor 2:1	direct
καταισχύνετε	qué	1	1corintios 11:22	1corintios 11:22	direct
κατακαήσεται	es consumida por el fuego	1	1cor 3:15	1cor 3:15	expanded
κατακαλυπτέσθω	es que se cubra	1	1corintios 11:6	1corintios 11:6	expanded
κατακαλύπτεται	se cubre	1	1corintios 11:6	1corintios 11:6	expanded
κατακριθῶμεν	mundo	1	1corintios 11:32	1corintios 11:32	direct
καταλάβητε	ganen	1	1corintios 9:24	1corintios 9:24	direct
καταλλαγήτω—	de lo contrario que se reconcilie	1	1cor 7:11	1cor 7:11	expanded
καταργήσει	destruirá	1	1cor 6:13	1cor 6:13	direct
καταργήσῃ	anular	1	1cor 1:28	1cor 1:28	direct
καταργηθήσεται	se acabará	1	1corintios 13:8	1corintios 13:8	expanded
καταργηθήσονται	se acabarán	1	1corintios 13:8	1corintios 13:8	expanded
καταργουμένων	van desapareciendo	1	1cor 2:6	1cor 2:6	expanded
καταφρονεῖτε	que	1	1corintios 11:22	1corintios 11:22	direct
καταχρήσασθαι	mi	1	1corintios 9:18	1corintios 9:18	direct
καταχρώμενοι	aprovecharan plenamente	1	1corintios 7:31	1corintios 7:31	expanded
κατεργασάμενον	cometió	1	1cor 5:3	1cor 5:3	direct
κατεστρώθησαν	y	1	1corintios 10:5	1corintios 10:5	direct
κατηρτισμένοι	enteramente unidos	1	1cor 1:10	1cor 1:10	expanded
κατηχήσω	palabras	1	1corintios 14:19	1corintios 14:19	direct
κατὰ	de	1	1corintios 10:18	1corintios 10:18	direct
κατὰ	que cubre su	1	1corintios 11:4	1corintios 11:4	expanded
κατὰ	conocimiento	1	1corintios 12:8	1corintios 12:8	direct
κατὰ	que hablen	1	1corintios 14:27	1corintios 14:27	expanded
κατὰ	y	1	1corintios 14:40	1corintios 14:40	direct
κατὰ	como	1	1cor 3:3	1cor 3:3	direct
κατὰ	contra	1	1cor 4:6	1cor 4:6	direct
κατὰ	en mi opinión	1	1corintios 7:40	1corintios 7:40	expanded
κατὰ	por	1	1cor 7:6	1cor 7:6	direct
καυθήσομαι	para	1	1corintios 13:3	1corintios 13:3	direct
καυχάσθω	que se gloríe	1	1cor 1:31	1cor 1:31	expanded
καυχάσθω	se jacte	1	1cor 3:21	1cor 3:21	expanded
καυχήσηται	se jacte	1	1cor 1:29	1cor 1:29	expanded
καυχώμενος	se gloría	1	1cor 1:31	1cor 1:31	expanded
καυχᾶσαι	te jactas	1	1cor 4:7	1cor 4:7	expanded
καύχημα	jactancia	1	1cor 5:6	1cor 5:6	direct
καὶ	como	1	1cor 1:24	1cor 1:24	direct
καὶ	pasaron por	1	1corintios 10:1	1corintios 10:1	expanded
καὶ	y fueron destruidos por el destructor	1	1corintios 10:10	1corintios 10:10	expanded
καὶ	en moisés	1	1corintios 10:2	1corintios 10:2	expanded
καὶ	todos comieron	1	1corintios 10:3	1corintios 10:3	expanded
καὶ	y todos	1	1corintios 10:4	1corintios 10:4	expanded
καὶ	en un	1	1corintios 10:8	1corintios 10:8	expanded
καὶ	y fueron	1	1corintios 10:9	1corintios 10:9	expanded
καὶ	el hombre	1	1corintios 11:12	1corintios 11:12	expanded
καὶ	necesario que	1	1corintios 11:19	1corintios 11:19	expanded
καὶ	ustedes los	1	1corintios 11:19	1corintios 11:19	expanded
καὶ	mí y	1	1corintios 11:2	1corintios 11:2	expanded
καὶ	pasa hambre	1	1corintios 11:21	1corintios 11:21	expanded
καὶ	desprecian la	1	1corintios 11:22	1corintios 11:22	expanded
καὶ	nada tienen	1	1corintios 11:22	1corintios 11:22	expanded
καὶ	les he	1	1corintios 11:23	1corintios 11:23	expanded
καὶ	tomó también la	1	1corintios 11:25	1corintios 11:25	expanded
καὶ	a sí	1	1corintios 11:28	1corintios 11:28	expanded
καὶ	pan y	1	1corintios 11:28	1corintios 11:28	expanded
καὶ	come y	1	1corintios 11:29	1corintios 11:29	expanded
καὶ	y bebe	1	1corintios 11:29	1corintios 11:29	expanded
καὶ	una con	1	1corintios 11:5	1corintios 11:5	expanded
καὶ	la	1	1corintios 11:6	1corintios 11:6	direct
καὶ	y el	1	1corintios 12:11	1corintios 12:11	expanded
καὶ	pues por	1	1corintios 12:13	1corintios 12:13	expanded
καὶ	se nos	1	1corintios 12:13	1corintios 12:13	expanded
καὶ	porque el	1	1corintios 12:14	1corintios 12:14	expanded
καὶ	y las	1	1corintios 12:23	1corintios 12:23	expanded
καὶ	así	1	1corintios 12:23	1corintios 12:23	direct
καὶ	si un	1	1corintios 12:26	1corintios 12:26	expanded
καὶ	y cada	1	1corintios 12:27	1corintios 12:27	expanded
καὶ	y nadie	1	1corintios 12:3	1corintios 12:3	expanded
καὶ	aun yo	1	1corintios 12:31	1corintios 12:31	expanded
καὶ	hay diversidad	1	1corintios 12:5	1corintios 12:5	expanded
καὶ	el señor	1	1corintios 12:5	1corintios 12:5	expanded
καὶ	y hay	1	1corintios 12:6	1corintios 12:6	expanded
καὶ	angélicas pero	1	1corintios 13:1	1corintios 13:1	expanded
καὶ	conocido	1	1corintios 13:12	1corintios 13:12	expanded
καὶ	de profecía	1	1corintios 13:2	1corintios 13:2	expanded
καὶ	misterios y	1	1corintios 13:2	1corintios 13:2	expanded
καὶ	y ninguno	1	1corintios 14:10	1corintios 14:10	expanded
καὶ	y el que	1	1corintios 14:11	1corintios 14:11	expanded
καὶ	que diez	1	1corintios 14:19	1corintios 14:19	expanded
καὶ	por boca	1	1corintios 14:21	1corintios 14:21	expanded
καὶ	así me	1	1corintios 14:21	1corintios 14:21	expanded
καὶ	en lenguas	1	1corintios 14:23	1corintios 14:23	expanded
καὶ	descubierto y	1	1corintios 14:25	1corintios 14:25	expanded
καὶ	para sí	1	1corintios 14:28	1corintios 14:28	expanded
καὶ	hombres para	1	1corintios 14:3	1corintios 14:3	expanded
καὶ	exhortación y	1	1corintios 14:3	1corintios 14:3	expanded
καὶ	todos sean	1	1corintios 14:31	1corintios 14:31	expanded
καὶ	los espíritus	1	1corintios 14:32	1corintios 14:32	expanded
καὶ	sujeten como	1	1corintios 14:34	1corintios 14:34	expanded
καὶ	profetizar y	1	1corintios 14:39	1corintios 14:39	expanded
καὶ	haga decentemente	1	1corintios 14:40	1corintios 14:40	expanded
καὶ	porque si	1	1corintios 14:8	1corintios 14:8	expanded
καὶ	cual también	1	1corintios 15:1	1corintios 15:1	expanded
καὶ	también están	1	1corintios 15:1	1corintios 15:1	expanded
καὶ	entonces	1	1cor 4:5	1cor 4:5	expanded
καὶ	tanto para	1	1cor 4:9	1cor 4:9	expanded
καὶ	como para	1	1cor 4:9	1cor 4:9	expanded
καὶ	en lugar de	1	1cor 5:2	1cor 5:2	expanded
καὶ	a los dos	1	1cor 6:13	1cor 6:13	expanded
καὶ	cada cual	1	1corintios 7:17	1corintios 7:17	expanded
καὶ	aunque si	1	1corintios 7:21	1corintios 7:21	expanded
καὶ	te casas	1	1corintios 7:28	1corintios 7:28	expanded
καὶ	en adelante	1	1corintios 7:29	1corintios 7:29	expanded
καὶ	se regocijaran	1	1corintios 7:30	1corintios 7:30	expanded
καὶ	y sus	1	1corintios 7:34	1corintios 7:34	expanded
καὶ	están divididos	1	1corintios 7:34	1corintios 7:34	expanded
καὶ	y la	1	1corintios 7:34	1corintios 7:34	expanded
καὶ	en cuerpo	1	1corintios 7:34	1corintios 7:34	expanded
καὶ	espíritu pero	1	1corintios 7:34	1corintios 7:34	expanded
καὶ	su constante	1	1corintios 7:35	1corintios 7:35	expanded
καὶ	en su	1	1corintios 7:37	1corintios 7:37	expanded
καὶ	los	1	1corintios 7:38	1corintios 7:38	direct
καὶ	y herir su conciencia cuando esta es débil pecan contra cristo	1	1corintios 8:12	1corintios 8:12	expanded
καὶ	porque aunque	1	1corintios 8:5	1corintios 8:5	expanded
καὶ	y nosotros somos para él	1	1corintios 8:6	1corintios 8:6	expanded
καὶ	y un solo señor jesucristo	1	1corintios 8:6	1corintios 8:6	expanded
καὶ	y por medio de él existimos nosotros	1	1corintios 8:6	1corintios 8:6	expanded
καὶ	también ordenó	1	1corintios 9:14	1corintios 9:14	expanded
καὶ	a los judíos me hice como judío	1	1corintios 9:20	1corintios 9:20	expanded
καὶ	y lo hago mi esclavo	1	1corintios 9:27	1corintios 9:27	expanded
καὶ	así como	1	1corintios 9:5	1corintios 9:5	expanded
καὶ	cefas	1	1corintios 9:5	1corintios 9:5	expanded
κείμενον	ya está puesto	1	1cor 3:11	1cor 3:11	expanded
κείρασθαι	el cabello	1	1corintios 11:6	1corintios 11:6	expanded
κειράσθω	cabeza que también se corte el cabello	1	1corintios 11:6	1corintios 11:6	expanded
κεκορεσμένοι	saciados	1	1cor 4:8	1cor 4:8	direct
κενωθῇ	se haga vana	1	1cor 1:17	1cor 1:17	expanded
κερδήσω	débiles	1	1corintios 9:22	1corintios 9:22	direct
κεφαλήν	cabeza	1	1corintios 11:7	1corintios 11:7	direct
κεφαλὴ	de	1	1corintios 11:3	1corintios 11:3	direct
κεφαλῆς	de	1	1corintios 11:10	1corintios 11:10	direct
κεφαλῆς	cabeza	1	1corintios 11:4	1corintios 11:4	direct
κεφαλῇ	profetiza	1	1corintios 11:5	1corintios 11:5	direct
κηρύγματος	predicación	1	1cor 1:21	1cor 1:21	direct
κηρύσσομεν	predicamos	1	1cor 1:23	1cor 1:23	direct
κηφᾶ	de cefas	1	1cor 1:12	1cor 1:12	expanded
κηφᾶς	cefas	1	1cor 3:22	1cor 3:22	direct
κιθάρα	el arpa	1	1corintios 14:7	1corintios 14:7	expanded
κιθαριζόμενον	arpa	1	1corintios 14:7	1corintios 14:7	direct
κλέπται	los ladrones	1	1cor 6:10	1cor 6:10	expanded
κλήσει	que	1	1corintios 7:20	1corintios 7:20	direct
κλαίοντες	como	1	1corintios 7:30	1corintios 7:30	direct
κλαίοντες	lloraran	1	1corintios 7:30	1corintios 7:30	direct
κλητοῖς	llamados a ser	1	1cor 1:2	1cor 1:2	expanded
κλητοῖς	llamados	1	1cor 1:24	1cor 1:24	direct
κλητὸς	llamado a ser	1	1cor 1:1	1cor 1:1	expanded
κλῆσιν	llamamiento	1	1cor 1:26	1cor 1:26	direct
κοιλία	estómago	1	1cor 6:13	1cor 6:13	direct
κοιλίᾳ	estómago	1	1cor 6:13	1cor 6:13	direct
κοιμηθῇ	muere	1	1corintios 7:39	1corintios 7:39	direct
κοινωνίαν	la comunión con	1	1cor 1:9	1cor 1:9	expanded
κοινωνοὶ	no	1	1corintios 10:18	1corintios 10:18	direct
κολαφιζόμεθα	somos maltratados	1	1cor 4:11	1cor 4:11	expanded
κοπιῶμεν	nos agotamos	1	1cor 4:12	1cor 4:12	expanded
κορίνθῳ	corinto	1	1cor 1:2	1cor 1:2	direct
κρίμα	juicio	1	1corintios 11:29	1corintios 11:29	direct
κρίμα	para	1	1corintios 11:34	1corintios 11:34	direct
κρίματα	litigios	1	1cor 6:7	1cor 6:7	direct
κρίνατε	que	1	1corintios 11:13	1corintios 11:13	direct
κρίνει;	juzga	1	1cor 5:13	1cor 5:13	direct
κρίνεσθαι	a ir a juicio	1	1cor 6:1	1cor 6:1	expanded
κρίνεται	es juzgado	1	1cor 6:2	1cor 6:2	expanded
κρίνεται	litiga	1	1cor 6:6	1cor 6:6	direct
κρίνετε	juzguen	1	1cor 4:5	1cor 4:5	direct
κρίνετε	juzgan	1	1cor 5:12	1cor 5:12	direct
κρίσπον	a crispo	1	1cor 1:14	1cor 1:14	expanded
κρεῖσσον	lo bueno	1	1corintios 11:17	1corintios 11:17	expanded
κρεῖσσον	mejor	1	1corintios 7:38	1corintios 7:38	direct
κρεῖττον	mejor	1	1cor 7:9	1cor 7:9	direct
κρινοῦμεν	hemos de juzgar	1	1cor 6:3	1cor 6:3	expanded
κρινοῦσιν	han de juzgar	1	1cor 6:2	1cor 6:2	expanded
κρινόμενοι	pero	1	1corintios 11:32	1corintios 11:32	direct
κριτήρια	tribunales	1	1cor 6:4	1cor 6:4	direct
κριτηρίων	para juzgar los casos	1	1cor 6:2	1cor 6:2	expanded
κρυπτὰ	secretos	1	1corintios 14:25	1corintios 14:25	direct
κρυπτὰ	ocultas	1	1cor 4:5	1cor 4:5	direct
κυβερνήσεις	diversas	1	1corintios 12:28	1corintios 12:28	direct
κυρίου	señor señor	1	1cor 1:2	1cor 1:2	expanded
κυρίου	lo mismo	1	1corintios 11:23	1corintios 11:23	expanded
κυρίου	señor hasta	1	1corintios 11:26	1corintios 11:26	expanded
κυρίου	el señor	1	1corintios 11:32	1corintios 11:32	expanded
κυρίου	señor jesús	1	1cor 5:5	1cor 5:5	expanded
κυρίου	tengo	1	1corintios 7:25	1corintios 7:25	direct
κυρίου	cosas	1	1corintios 7:34	1corintios 7:34	direct
κυρίου	y	1	1corintios 9:5	1corintios 9:5	direct
κυρίῳ	la mujer	1	1corintios 11:11	1corintios 11:11	expanded
κυρίῳ	en el señor	1	1corintios 7:39	1corintios 7:39	expanded
κυριακὸν	del señor	1	1corintios 11:20	1corintios 11:20	expanded
κωλύετε	en	1	1corintios 14:39	1corintios 14:39	direct
κόμη	cabello	1	1corintios 11:15	1corintios 11:15	direct
κόπον	trabajo	1	1cor 3:8	1cor 3:8	direct
κόσμον	mundo	1	1cor 6:2	1cor 6:2	direct
κόσμον	como	1	1corintios 7:31	1corintios 7:31	direct
κόσμος	el mundo	1	1cor 3:22	1cor 3:22	expanded
κόσμου	este mundo	1	1corintios 7:31	1corintios 7:31	expanded
κόσμου	de	1	1corintios 7:34	1corintios 7:34	direct
κόσμῳ	el	1	1corintios 11:32	1corintios 11:32	direct
κόσμῳ	mundo	1	1cor 4:9	1cor 4:9	direct
κύμβαλον	címbalo	1	1corintios 13:1	1corintios 13:1	direct
κύριοι	señores	1	1corintios 8:5	1corintios 8:5	direct
κύριον	a	1	1corintios 9:1	1corintios 9:1	direct
κύριος	es el	1	1corintios 12:3	1corintios 12:3	expanded
κύριος	mismo	1	1corintios 12:5	1corintios 12:5	expanded
κύριος	el señor	1	1cor 3:20	1cor 3:20	expanded
κύριος	ha asignado	1	1corintios 7:17	1corintios 7:17	expanded
κύριός	el señor	1	1cor 4:4	1cor 4:4	expanded
κἀγώ	así que yo	1	1cor 3:1	1cor 3:1	expanded
κἀγώ	yo	1	1cor 7:8	1cor 7:8	direct
κἀγὼ	yo lo soy	1	1corintios 11:1	1corintios 11:1	expanded
κἀγὼ	por eso	1	1cor 2:1	1cor 2:1	expanded
κἀγὼ	estuve	1	1cor 2:3	1cor 2:3	direct
κἀγὼ	que yo también	1	1corintios 7:40	1corintios 7:40	expanded
λέγει	dice	1	1cor 1:12	1cor 1:12	direct
λέγει	jesús	1	1corintios 12:3	1corintios 12:3	direct
λέγητε	se pongan de acuerdo	1	1cor 1:10	1cor 1:10	expanded
λέγω	me refiero	1	1cor 1:12	1cor 1:12	expanded
λέγω	lo digo	1	1cor 6:5	1cor 6:5	expanded
λέγω	para	1	1corintios 7:35	1corintios 7:35	direct
λέγων	diciendo	1	1corintios 11:25	1corintios 11:25	direct
λέγῃ	dice	1	1cor 3:4	1cor 3:4	direct
λέλυσαι	estás libre	1	1corintios 7:27	1corintios 7:27	expanded
