greek_span	nbla_span	count	first_seen	last_seen	alignment_types
τῇ	el	3	1cor 1:8	1cor 5:5	direct,expanded
τῇ	la	3	1cor 1:21	1cor 6:4	direct
τῶν	los	3	1cor 1:11	1cor 6:1	direct
χριστοῦ	cristo	3	1cor 1:17	1cor 6:15	direct
ἀλλʼ	pero	3	1cor 6:12	1corintios 8:6	direct
ἀλλʼ	sin embargo	3	1cor 4:15	1corintios 9:12	expanded
ἀπολλῶς	apolos	3	1cor 3:22	1cor 3:6	direct
ἀπὸ	de	3	1cor 1:30	1corintios 7:27	direct
ἀρέσῃ	agradar	3	1corintios 7:32	1corintios 7:34	direct
ἐβάπτισα	bauticé	3	1cor 1:14	1cor 1:16	direct
ἐκ	de	3	1cor 5:2	1cor 7:7	direct
ἐκκλησίᾳ	iglesia	3	1cor 1:2	1cor 6:4	direct
ἐξελέξατο	ha escogido	3	1cor 1:27	1cor 1:28	expanded
ἐπὶ	ante	3	1cor 6:1	1cor 6:6	direct
ἡμᾶς	nos	3	1cor 4:1	1cor 7:15	direct
ὃ	que	3	1cor 3:14	1cor 6:18	direct
ὄνομα	nombre	3	1cor 1:13	1cor 1:2	direct
ὡς	como si	3	1cor 4:18	1corintios 7:30	expanded
